# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636624.663107633590698,0.00269,0.00007,0.00030,0.00000,0.00000,0.00117,0.00422
1403636624.711698055267334,0.00419,0.00007,0.00196,0.00000,0.00114,0.00120,0.00857
1403636624.761757612228394,0.00327,0.00007,0.00012,0.00011,0.00000,0.00112,0.00471
1403636624.811835050582886,0.00299,0.00008,0.00012,0.00012,0.00000,0.00166,0.00497
1403636624.862339735031128,0.00266,0.00008,0.00022,0.00009,0.00000,0.00131,0.00437
1403636624.912923097610474,0.00282,0.00009,0.00007,0.00010,0.00000,0.00132,0.00441
1403636624.963339805603027,0.00311,0.00009,0.00019,0.00009,0.00007,0.00141,0.00496
1403636625.013258934020996,0.00262,0.00011,0.00051,0.00013,0.00000,0.00140,0.00478
1403636625.063905000686646,0.00308,0.00009,0.00056,0.00006,0.00000,0.00177,0.00556
1403636625.114019155502319,0.00269,0.00009,0.00016,0.00006,0.00016,0.00134,0.00449
1403636625.163565874099731,0.00264,0.00008,0.00050,0.00004,0.00010,0.00138,0.00474
1403636625.213619232177734,0.00259,0.00013,0.00017,0.00006,0.00000,0.00138,0.00432
1403636625.263426780700684,0.00285,0.00008,0.00019,0.00006,0.00013,0.00132,0.00462
1403636625.311850547790527,0.00256,0.00007,0.00102,0.00005,0.00795,0.00139,0.01304
1403636625.362471103668213,0.00428,0.00010,0.00007,0.00035,0.00016,0.00174,0.00670
1403636625.413080692291260,0.00271,0.00008,0.00018,0.00032,0.00000,0.00140,0.00470
1403636625.462806701660156,0.00886,0.00010,0.00008,0.00036,0.00051,0.00175,0.01166
1403636625.512654781341553,0.00268,0.00008,0.00003,0.00042,0.00000,0.00139,0.00461
1403636625.562849998474121,0.00312,0.00008,0.00003,0.00036,0.00017,0.00146,0.00523
1403636625.613147497177124,0.00371,0.00010,0.00009,0.00039,0.00055,0.00155,0.00639
1403636625.663457870483398,0.00283,0.00009,0.00005,0.00035,0.00070,0.00141,0.00543
1403636625.713100671768188,0.00302,0.00010,0.00022,0.00036,0.00032,0.00141,0.00543
1403636625.763079166412354,0.00381,0.00010,0.00024,0.00027,0.00004,0.00139,0.00584
1403636625.812803745269775,0.00290,0.00008,0.00053,0.00026,0.00178,0.00202,0.00758
1403636625.862439870834351,0.00289,0.00008,0.00055,0.00030,0.00016,0.00288,0.00687
1403636625.912421941757202,0.00554,0.00047,0.00091,0.00030,0.00261,0.00239,0.01222
1403636625.962505102157593,0.00296,0.00010,0.00022,0.00031,0.00047,0.00122,0.00529
1403636626.012801170349121,0.00298,0.00010,0.00025,0.00038,0.00000,0.00146,0.00517
1403636626.062982320785522,0.00389,0.00009,0.00024,0.00033,0.00007,0.00129,0.00590
1403636626.113150596618652,0.00447,0.00009,0.00030,0.00044,0.00000,0.00140,0.00671
1403636626.163340806961060,0.00286,0.00013,0.00016,0.00041,0.00010,0.00148,0.00514
1403636626.213483572006226,0.00275,0.00008,0.00033,0.00034,0.00000,0.00147,0.00497
1403636626.263535022735596,0.00273,0.00008,0.00025,0.00034,0.00055,0.00181,0.00577
1403636626.313863992691040,0.00247,0.00008,0.00038,0.00038,0.00190,0.00191,0.00714
1403636626.363886117935181,0.00277,0.00010,0.00014,0.00076,0.00048,0.00126,0.00551
1403636626.413963317871094,0.00398,0.00011,0.00017,0.00071,0.00228,0.00170,0.00894
1403636626.463992595672607,0.00389,0.00010,0.00017,0.00094,0.00022,0.00147,0.00680
1403636626.514101266860962,0.00251,0.00009,0.00047,0.00089,0.00298,0.00187,0.00882
1403636626.564239025115967,0.00359,0.00013,0.00004,0.00202,0.00194,0.00153,0.00924
1403636626.614280939102173,0.00298,0.00010,0.00006,0.00164,0.00356,0.00141,0.00974
1403636626.664488792419434,0.00344,0.00010,0.00006,0.00228,0.00149,0.00192,0.00928
1403636626.714353084564209,0.00222,0.00011,0.00006,0.00227,0.00061,0.00144,0.00670
1403636626.764285802841187,0.01845,0.00012,0.00002,0.00275,0.00258,0.00142,0.02533
1403636626.814257144927979,0.00204,0.00014,0.00002,0.00257,0.00078,0.00142,0.00698
1403636626.864181041717529,0.01629,0.00014,0.00011,0.00284,0.00000,0.00150,0.02088
1403636626.914218902587891,0.00292,0.00013,0.00029,0.00257,0.00076,0.00160,0.00828
1403636626.964204788208008,0.00209,0.00011,0.00021,0.00242,0.00049,0.00138,0.00669
1403636627.014282703399658,0.00216,0.00011,0.00023,0.00258,0.00030,0.00127,0.00666
1403636627.064273357391357,0.00780,0.00013,0.00007,0.00271,0.00018,0.00169,0.01258
1403636627.114347696304321,0.00239,0.00014,0.00002,0.00287,0.00016,0.00150,0.00708
1403636627.164169788360596,0.00270,0.00010,0.00005,0.00305,0.00067,0.00150,0.00808
1403636627.213891983032227,0.00255,0.00012,0.00184,0.00263,0.00250,0.00142,0.01107
1403636627.263628244400024,0.00263,0.00012,0.00003,0.00253,0.00015,0.00145,0.00691
1403636627.313546895980835,0.00314,0.00012,0.00009,0.00453,0.00044,0.00155,0.00989
1403636627.363492250442505,0.00255,0.00011,0.00008,0.00342,0.00005,0.00142,0.00763
1403636627.413520097732544,0.00277,0.00012,0.00065,0.00255,0.00112,0.00159,0.00880
1403636627.463449954986572,0.00251,0.00011,0.00002,0.00237,0.00000,0.00204,0.00707
1403636627.513509750366211,0.00270,0.00011,0.00005,0.00254,0.00102,0.00138,0.00782
1403636627.563496828079224,0.00241,0.00012,0.00035,0.00234,0.00010,0.00128,0.00660
1403636627.613464832305908,0.00323,0.00015,0.00006,0.00278,0.00035,0.00224,0.00881
1403636627.663493394851685,0.00440,0.00013,0.00003,0.00251,0.00052,0.00132,0.00891
1403636627.713439941406250,0.00309,0.00011,0.00006,0.00294,0.00005,0.00400,0.01025
1403636627.763404607772827,0.00259,0.00011,0.00006,0.00325,0.00035,0.00131,0.00767
1403636627.813312530517578,0.00304,0.00012,0.00050,0.00256,0.00234,0.00169,0.01024
1403636627.863311290740967,0.00421,0.00012,0.00008,0.00258,0.00040,0.00132,0.00871
1403636627.913335323333740,0.00304,0.00011,0.00011,0.00241,0.00026,0.00127,0.00721
1403636627.963402271270752,0.00287,0.00015,0.00028,0.00257,0.00031,0.00151,0.00768
1403636628.013499736785889,0.00239,0.00011,0.00018,0.00221,0.00029,0.00186,0.00704
1403636628.063743352890015,0.00248,0.00012,0.00019,0.00222,0.00013,0.00232,0.00747
1403636628.114024162292480,0.00265,0.00011,0.00003,0.00218,0.00096,0.00194,0.00787
1403636628.164252996444702,0.00304,0.00013,0.00005,0.00254,0.00078,0.00146,0.00801
1403636628.214385986328125,0.00241,0.00013,0.00001,0.00265,0.00031,0.00152,0.00703
1403636628.264400959014893,0.00377,0.00012,0.00018,0.00248,0.00016,0.00135,0.00807
1403636628.314388513565063,0.00310,0.00011,0.00019,0.00238,0.00004,0.00133,0.00715
1403636628.364316225051880,0.00281,0.00011,0.00045,0.00262,0.00025,0.00135,0.00759
1403636628.414291143417358,0.00301,0.00011,0.00018,0.00219,0.00122,0.00229,0.00900
1403636628.464163541793823,0.00395,0.00012,0.00081,0.00221,0.00496,0.00174,0.01378
1403636628.514142274856567,0.00310,0.00013,0.00013,0.00281,0.00000,0.00313,0.00930
1403636628.564136981964111,0.00272,0.00012,0.00013,0.00294,0.00028,0.00122,0.00741
1403636628.614131927490234,0.00294,0.00011,0.00009,0.00308,0.00026,0.00139,0.00789
1403636628.664123058319092,0.00296,0.00012,0.00026,0.00287,0.00015,0.00196,0.00832
1403636628.714095830917358,0.00340,0.00016,0.00004,0.00472,0.00064,0.00156,0.01052
1403636628.764060735702515,0.00328,0.00011,0.00003,0.00226,0.00000,0.00131,0.00700
1403636628.814036369323730,0.00495,0.00016,0.00027,0.00328,0.00018,0.00143,0.01027
1403636628.864014625549316,0.00424,0.00012,0.00036,0.00413,0.00028,0.00147,0.01060
1403636628.914009571075439,0.00297,0.00011,0.00033,0.00260,0.00004,0.00158,0.00763
1403636628.964026451110840,0.00258,0.00012,0.00029,0.00234,0.00045,0.00211,0.00789
1403636629.014018297195435,0.00286,0.00011,0.00034,0.00227,0.00200,0.00148,0.00905
1403636629.064018487930298,0.00408,0.00014,0.00012,0.00227,0.00363,0.00138,0.01161
1403636629.113990783691406,0.00255,0.00012,0.00008,0.00233,0.00000,0.00136,0.00644
1403636629.163994789123535,0.00255,0.00011,0.00027,0.00228,0.00050,0.00305,0.00877
1403636629.213971853256226,0.00361,0.00015,0.00021,0.00230,0.00008,0.00167,0.00802
1403636629.263965129852295,0.00271,0.00012,0.00015,0.00208,0.00000,0.00174,0.00680
1403636629.313954114913940,0.00279,0.00012,0.00025,0.00201,0.00056,0.00140,0.00714
1403636629.363941192626953,0.00290,0.00012,0.00054,0.00217,0.00001,0.00161,0.00735
1403636629.413919210433960,0.00325,0.00011,0.00007,0.00213,0.00194,0.00160,0.00911
1403636629.463948488235474,0.00309,0.00011,0.00006,0.00308,0.00025,0.00134,0.00793
1403636629.513952732086182,0.00277,0.00011,0.00009,0.00212,0.00004,0.00793,0.01307
1403636629.563984155654907,0.00315,0.00011,0.00019,0.00200,0.00005,0.00141,0.00691
1403636629.614006757736206,0.00315,0.00011,0.00008,0.00217,0.00206,0.00134,0.00892
1403636629.664024591445923,0.00342,0.00011,0.00008,0.00191,0.00017,0.00138,0.00708
1403636629.714019060134888,0.00236,0.00011,0.00014,0.00204,0.00042,0.00137,0.00644
1403636629.764024734497070,0.00269,0.00012,0.00028,0.00193,0.00038,0.00148,0.00690
1403636629.814002275466919,0.00819,0.00012,0.00082,0.00277,0.00223,0.00214,0.01627
1403636629.864016532897949,0.00271,0.00011,0.00013,0.00159,0.00000,0.00149,0.00603
1403636629.914041042327881,0.00305,0.00010,0.00008,0.00224,0.00016,0.00170,0.00733
1403636629.964069366455078,0.00337,0.00019,0.00023,0.00175,0.00075,0.00140,0.00769
1403636630.014106273651123,0.00836,0.00018,0.00039,0.00126,0.00092,0.00153,0.01263
1403636630.064118623733521,0.00350,0.00012,0.00024,0.00108,0.00028,0.00272,0.00795
1403636630.114130973815918,0.00306,0.00009,0.00009,0.00087,0.00016,0.00152,0.00579
1403636630.164141654968262,0.00319,0.00010,0.00033,0.00077,0.00006,0.00127,0.00572
1403636630.214173555374146,0.00479,0.00012,0.00038,0.00083,0.00123,0.00172,0.00907
1403636630.264219284057617,0.00349,0.00013,0.00059,0.00086,0.00250,0.00149,0.00905
1403636630.314219713211060,0.00626,0.00011,0.00045,0.00127,0.00000,0.00266,0.01076
1403636630.364223957061768,0.00791,0.00011,0.00011,0.00115,0.00016,0.00129,0.01072
1403636630.414229869842529,0.00238,0.00009,0.00006,0.00102,0.00033,0.00137,0.00527
1403636630.464229106903076,0.00221,0.00010,0.00004,0.00123,0.00003,0.00151,0.00511
1403636630.514224529266357,0.00236,0.00011,0.00003,0.00101,0.00244,0.00162,0.00757
1403636630.564218521118164,0.00242,0.00009,0.00037,0.00137,0.00044,0.00179,0.00649
1403636630.614204883575439,0.00275,0.00010,0.00033,0.00135,0.00000,0.00125,0.00578
1403636630.664205312728882,0.00302,0.00010,0.00024,0.00145,0.00016,0.00171,0.00669
1403636630.714185476303101,0.00264,0.00011,0.00031,0.00119,0.00460,0.00161,0.01047
1403636630.764187574386597,0.00271,0.00010,0.00001,0.00185,0.00040,0.00178,0.00686
1403636630.814187049865723,0.00436,0.00018,0.00034,0.00327,0.00219,0.00150,0.01184
1403636630.864191055297852,0.00794,0.00014,0.00011,0.00298,0.00172,0.00155,0.01445
1403636630.914197921752930,0.00856,0.00011,0.00003,0.00207,0.00000,0.00155,0.01232
1403636630.964203596115112,0.00671,0.00012,0.00011,0.00225,0.00000,0.00177,0.01097
1403636631.014204978942871,0.00865,0.00011,0.00008,0.00209,0.00032,0.00172,0.01298
1403636631.064206600189209,0.00787,0.00014,0.00006,0.00249,0.00000,0.00267,0.01323
1403636631.114205121994019,0.00234,0.00011,0.00008,0.00186,0.00056,0.00130,0.00625
1403636631.164210319519043,0.00188,0.00011,0.00046,0.00193,0.00000,0.00139,0.00577
1403636631.214212656021118,0.00258,0.00010,0.00008,0.00153,0.00615,0.00125,0.01170
1403636631.264213085174561,0.00254,0.00011,0.00020,0.00196,0.00000,0.00144,0.00625
1403636631.314217805862427,0.00221,0.00011,0.00007,0.00206,0.00090,0.00161,0.00697
1403636631.364221096038818,0.01796,0.00013,0.00013,0.00198,0.00006,0.00142,0.02168
1403636631.414223909378052,0.00240,0.00010,0.00002,0.00192,0.00023,0.00132,0.00599
1403636631.464226484298706,0.00275,0.00010,0.00013,0.00211,0.00065,0.00209,0.00782
1403636631.514227390289307,0.00236,0.00010,0.00002,0.00205,0.00000,0.00130,0.00583
1403636631.564231395721436,0.00256,0.00010,0.00013,0.00199,0.00000,0.00132,0.00610
1403636631.614235639572144,0.00304,0.00010,0.00002,0.00197,0.00032,0.00131,0.00676
1403636631.664250850677490,0.00831,0.00011,0.00005,0.00192,0.00803,0.00245,0.02088
1403636631.714255332946777,0.00390,0.00017,0.00004,0.00472,0.00019,0.00136,0.01038
1403636631.764268159866333,0.00259,0.00012,0.00003,0.00284,0.00000,0.00172,0.00731
1403636631.814276695251465,0.00244,0.00013,0.00003,0.00344,0.00088,0.00146,0.00837
1403636631.864282131195068,0.00341,0.00016,0.00007,0.00545,0.00000,0.00176,0.01085
1403636631.914300680160522,0.00243,0.00013,0.00002,0.00270,0.00161,0.00323,0.01012
1403636631.964265823364258,0.00645,0.00012,0.00007,0.00260,0.00006,0.00146,0.01075
1403636632.014213800430298,0.00630,0.00025,0.00010,0.00313,0.00016,0.00164,0.01158
1403636632.064208984375000,0.00651,0.00012,0.00035,0.00233,0.00205,0.00192,0.01329
1403636632.114228248596191,0.00663,0.00015,0.00009,0.00267,0.00002,0.00158,0.01114
1403636632.164233684539795,0.00832,0.00014,0.00014,0.00239,0.00003,0.00176,0.01278
1403636632.214213609695435,0.00722,0.00013,0.00003,0.00218,0.00029,0.00153,0.01137
1403636632.264229059219360,0.00707,0.00013,0.00006,0.00217,0.00004,0.00161,0.01109
1403636632.314237833023071,0.00675,0.00011,0.00068,0.00245,0.00023,0.00178,0.01200
1403636632.364259004592896,0.00674,0.00011,0.00007,0.00204,0.00000,0.00155,0.01051
1403636632.414265871047974,0.00678,0.00013,0.00112,0.00316,0.00510,0.00167,0.01796
1403636632.464263677597046,0.00984,0.00013,0.00003,0.00263,0.00000,0.00292,0.01555
1403636632.514247179031372,0.00223,0.00012,0.00008,0.00244,0.00005,0.00187,0.00681
1403636632.564237356185913,0.00343,0.00012,0.00007,0.00243,0.00081,0.00274,0.00960
1403636632.614233493804932,0.00745,0.00012,0.00005,0.00254,0.00016,0.00206,0.01237
