# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403636897.50167 -0.025917 0.013446 0.003802 0.599525 -0.533868 0.457614 0.382289 0.0007802626 0.0000000099 -0.0000000006 0.0007802640 0.0000000025 0.0007802522 0.0123020327 0.0000002596 0.0000590577 0.0123022336 -0.0000351766 0.0026876377
1403636897.55167 -0.032451 0.019147 0.004242 0.600671 -0.537216 0.452313 0.382107 0.0008202450 0.0000000242 0.0000000021 0.0008202531 0.0000000062 0.0008202241 0.0145794479 0.0000004468 0.0000828972 0.0145797311 -0.0000546308 0.0027183449
1403636897.60167 -0.039336 0.025705 0.005297 0.603824 -0.540769 0.444825 0.380915 0.0008622091 0.0000000502 0.0000000068 0.0008622340 0.0000000129 0.0008621706 0.0172562829 0.0000007128 0.0001120576 0.0172566433 -0.0000804541 0.0027529037
1403636897.65167 -0.046677 0.032681 0.007874 0.607778 -0.543755 0.436382 0.380141 0.0009061404 0.0000000946 0.0000000165 0.0009062023 0.0000000278 0.0009060757 0.0203893042 0.0000010638 0.0001476694 0.0203897518 -0.0001123904 0.0027916531
1403636897.71317 0.008905 0.017513 -0.003698 0.618275 -0.541221 0.426143 0.378440 0.0008260862 0.0000036607 -0.0002500028 0.0001154486 0.0000019804 0.0001484261 0.0027452949 -0.0000939870 -0.0000092816 0.0028304743 0.0000610169 0.0025426765
1403636897.75154 -0.006267 0.040239 0.004314 0.615766 -0.549765 0.420025 0.377054 0.0003666631 0.0000079686 -0.0001322525 0.0000111213 -0.0000011570 0.0000671259 0.0025538566 -0.0000114412 -0.0000001527 0.0025625580 0.0000111794 0.0025292444
1403636897.80219 -0.007665 0.045090 0.008792 0.618365 -0.551186 0.416306 0.374843 0.0003649444 0.0000047974 -0.0001330234 0.0000103958 0.0000003950 0.0000672711 0.0025503133 -0.0000123175 -0.0000004589 0.0025601656 0.0000110278 0.0025291789
1403636897.85215 -0.010187 0.052330 0.016826 0.621387 -0.552501 0.413454 0.371049 0.0003604367 0.0000053890 -0.0001366668 0.0000098054 0.0000003135 0.0000693097 0.0025467969 -0.0000140335 -0.0000007112 0.0025583045 0.0000108886 0.0025288996
1403636897.90173 -0.015980 0.055723 0.027322 0.623706 -0.552835 0.410690 0.369729 0.0003513618 0.0000035303 -0.0001419083 0.0000080127 0.0000001278 0.0000689962 0.0025440468 -0.0000158343 -0.0000007168 0.0025569426 0.0000115172 0.0025285675
1403636897.95042 -0.021413 0.059732 0.038620 0.623806 -0.550498 0.412805 0.370689 0.0003526810 0.0000046464 -0.0001392975 0.0000081237 -0.0000002197 0.0000665488 0.0025422582 -0.0000159494 -0.0000008082 0.0025574465 0.0000119508 0.0025285250
