# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403637149.73832 0.002787 -0.007493 0.001681 0.632936 -0.493820 0.491213 0.338000 0.0007960048 -0.0000000239 -0.0000000188 0.0007959977 0.0000000164 0.0007959895 0.0131590166 0.0000000054 -0.0000051309 0.0131589988 0.0000140774 0.0026987894
1403637149.78832 0.002058 -0.007498 0.001235 0.635376 -0.494412 0.489820 0.334559 0.0008367824 -0.0000000411 -0.0000000316 0.0008367716 0.0000000277 0.0008367562 0.0155829366 0.0000000022 -0.0000034359 0.0155829151 0.0000152385 0.0027305538
1403637149.83832 0.000963 -0.007908 0.001216 0.638763 -0.495063 0.486960 0.331306 0.0008795502 -0.0000000653 -0.0000000459 0.0008795404 0.0000000422 0.0008795091 0.0184231492 -0.0000000033 -0.0000000661 0.0184231184 0.0000176939 0.0027661447
1403637149.88832 -0.001699 -0.008646 0.000930 0.642497 -0.498367 0.482045 0.326282 0.0009242885 -0.0000001019 -0.0000000604 0.0009243082 0.0000000628 0.0009242318 0.0217263315 -0.0000000233 0.0000097908 0.0217262833 0.0000215818 0.0028058957
1403637149.93475 -0.000906 0.008237 0.003133 0.638770 -0.506847 0.477814 0.326760 0.0008163548 -0.0000350852 -0.0001993626 0.0001112156 0.0000026407 0.0001635077 0.0026925363 -0.0000716937 -0.0000458622 0.0028392117 0.0000758634 0.0025798153
1403637149.99046 -0.016133 -0.010967 -0.000009 0.656676 -0.490733 0.476629 0.317463 0.0003701434 -0.0000212390 -0.0001272945 0.0000129914 0.0000076663 0.0000573930 0.0025360979 -0.0000013022 -0.0000009819 0.0025526529 0.0000096332 0.0025332194
1403637150.03962 -0.027768 -0.009443 0.004348 0.665208 -0.490533 0.464126 0.318531 0.0003647024 -0.0000101169 -0.0001326105 0.0000109742 0.0000051316 0.0000613035 0.0025339105 -0.0000018214 -0.0000010688 0.0025492069 0.0000104067 0.0025336498
1403637150.08892 -0.037138 -0.008458 0.009785 0.670911 -0.491538 0.454753 0.318540 0.0003601790 -0.0000042075 -0.0001380185 0.0000104949 0.0000036816 0.0000666428 0.0025321650 -0.0000017260 -0.0000010604 0.0025478227 0.0000112373 0.0025340621
1403637150.13812 -0.046923 -0.009124 0.017667 0.674890 -0.492123 0.447358 0.319702 0.0003573652 -0.0000002377 -0.0001413807 0.0000104043 0.0000022913 0.0000702316 0.0025303203 -0.0000015932 -0.0000009515 0.0025472512 0.0000121052 0.0025344341
1403637150.18765 -0.056009 -0.011830 0.028243 0.675569 -0.493185 0.443150 0.322480 0.0003566098 0.0000025139 -0.0001422980 0.0000106644 0.0000014028 0.0000716719 0.0025286864 -0.0000014519 -0.0000007424 0.0025469561 0.0000129699 0.0025347546
1403637150.23704 -0.064512 -0.016765 0.040487 0.674907 -0.494526 0.440013 0.326088 0.0003504236 0.0000035272 -0.0001444752 0.0000107704 0.0000006185 0.0000705892 0.0025271961 -0.0000005266 0.0000002194 0.0025440136 0.0000119805 0.0025338124
1403637150.28668 -0.071572 -0.024093 0.054274 0.672242 -0.495210 0.440772 0.329512 0.0003520491 0.0000045309 -0.0001424666 0.0000110246 0.0000004912 0.0000692274 0.0025268625 -0.0000010676 0.0000004430 0.0025434022 0.0000124518 0.0025338922
1403637150.33663 -0.077879 -0.033387 0.069161 0.669137 -0.496042 0.442005 0.332910 0.0003538007 0.0000048843 -0.0001400812 0.0000113416 0.0000005958 0.0000675380 0.0025269705 -0.0000018720 0.0000006867 0.0025429521 0.0000127811 0.0025339051
1403637150.38648 -0.082990 -0.044548 0.085461 0.663330 -0.496638 0.446698 0.337349 0.0003571387 0.0000026812 -0.0001353249 0.0000112967 0.0000014177 0.0000627210 0.0025276798 -0.0000030852 0.0000008427 0.0025428364 0.0000130868 0.0025338411
1403637150.43692 -0.087340 -0.058274 0.100794 0.658623 -0.497022 0.450358 0.341120 0.0003596571 0.0000022481 -0.0001314011 0.0000115724 0.0000018630 0.0000598587 0.0025292352 -0.0000045706 0.0000010738 0.0025429868 0.0000132487 0.0025338457
1403637150.48748 -0.092571 -0.071633 0.116479 0.655390 -0.497150 0.452528 0.344275 0.0003616025 0.0000026487 -0.0001283203 0.0000119310 0.0000019830 0.0000578078 0.0025319487 -0.0000066068 0.0000012871 0.0025437900 0.0000132745 0.0025337999
1403637150.53767 -0.095817 -0.087243 0.131442 0.653216 -0.498024 0.452711 0.346890 0.0003618044 0.0000012786 -0.0001269881 0.0000111447 0.0000014203 0.0000558205 0.0025337822 -0.0000077672 0.0000014609 0.0025445215 0.0000132875 0.0025339511
1403637150.58795 -0.093150 -0.106566 0.147042 0.653514 -0.499723 0.449525 0.348027 0.0003586461 -0.0000002665 -0.0001290699 0.0000076385 -0.0000007426 0.0000539519 0.0025297952 -0.0000049502 0.0000008533 0.0025417092 0.0000131091 0.0025336489
1403637150.63821 -0.096514 -0.124147 0.159377 0.652167 -0.500171 0.449938 0.349374 0.0003570644 0.0000010815 -0.0001302749 0.0000074955 -0.0000011072 0.0000549073 0.0025317548 -0.0000053071 0.0000009801 0.0025413325 0.0000126427 0.0025336840
1403637150.68873 -0.099863 -0.142506 0.173140 0.651607 -0.501141 0.449796 0.349213 0.0003566459 0.0000015727 -0.0001300253 0.0000072516 -0.0000010717 0.0000544678 0.0025337237 -0.0000058637 0.0000011489 0.0025417061 0.0000121485 0.0025338386
