# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.934746026992798,0.00269,0.00006,0.00038,0.00000,0.00000,0.00124,0.00438
1403637149.990463495254517,0.00308,0.00010,0.00126,0.00000,0.00189,0.00176,0.00809
1403637150.039620399475098,0.00302,0.00008,0.00019,0.00024,0.00000,0.00142,0.00496
1403637150.088922977447510,0.00340,0.00008,0.00010,0.00019,0.00000,0.00126,0.00504
1403637150.138120412826538,0.00284,0.00009,0.00021,0.00019,0.00007,0.00138,0.00477
1403637150.187645435333252,0.00308,0.00008,0.00027,0.00018,0.00012,0.00122,0.00495
1403637150.237035512924194,0.00304,0.00009,0.00029,0.00024,0.00000,0.00112,0.00480
1403637150.286680698394775,0.00355,0.00009,0.00017,0.00015,0.00000,0.00116,0.00512
1403637150.336629867553711,0.00488,0.00010,0.00033,0.00012,0.00007,0.00117,0.00666
1403637150.386481761932373,0.00248,0.00009,0.00034,0.00011,0.00011,0.00136,0.00449
1403637150.436917781829834,0.00465,0.00017,0.00047,0.00019,0.00000,0.00153,0.00701
1403637150.487479925155640,0.00542,0.00010,0.00063,0.00015,0.00034,0.00150,0.00815
1403637150.537667512893677,0.00323,0.00008,0.00025,0.00017,0.00000,0.00124,0.00497
1403637150.587954044342041,0.00323,0.00010,0.00067,0.00012,0.00098,0.00133,0.00644
1403637150.638213634490967,0.00319,0.00009,0.00023,0.00025,0.00001,0.00132,0.00509
1403637150.688730955123901,0.00323,0.00010,0.00070,0.00040,0.00000,0.00140,0.00583
1403637150.738835573196411,0.01847,0.00010,0.00027,0.00016,0.00027,0.00150,0.02076
1403637150.788798570632935,0.00366,0.00009,0.00017,0.00015,0.00011,0.00128,0.00547
1403637150.839581966400146,0.00247,0.00009,0.00018,0.00025,0.00090,0.00129,0.00517
1403637150.889631748199463,0.00863,0.00009,0.00030,0.00027,0.00053,0.00241,0.01224
1403637150.939770936965942,0.00386,0.00009,0.00010,0.00030,0.00124,0.00182,0.00740
1403637150.989846706390381,0.00904,0.00016,0.00020,0.00023,0.00035,0.00160,0.01158
1403637151.039954185485840,0.00398,0.00010,0.00031,0.00017,0.00094,0.00198,0.00747
1403637151.089946985244751,0.00492,0.00010,0.00021,0.00025,0.00008,0.00136,0.00692
1403637151.139842033386230,0.00311,0.00009,0.00015,0.00036,0.00295,0.00137,0.00803
1403637151.189625740051270,0.00311,0.00009,0.00010,0.00050,0.00036,0.00144,0.00560
1403637151.239460706710815,0.00421,0.00010,0.00011,0.00062,0.00062,0.00152,0.00718
1403637151.289315700531006,0.00279,0.00010,0.00008,0.00060,0.00028,0.00179,0.00563
1403637151.339174270629883,0.00326,0.00009,0.00040,0.00048,0.00081,0.00132,0.00636
1403637151.389103174209595,0.00336,0.00011,0.00033,0.00048,0.00000,0.00153,0.00581
1403637151.439075708389282,0.00446,0.00012,0.00048,0.00050,0.00076,0.00154,0.00786
1403637151.489037752151489,0.00234,0.00012,0.00055,0.00071,0.00151,0.00164,0.00687
1403637151.539044618606567,0.00456,0.00010,0.00025,0.00048,0.00008,0.00134,0.00681
1403637151.589032173156738,0.00908,0.00010,0.00012,0.00046,0.00068,0.01822,0.02867
1403637151.639020442962646,0.00561,0.00011,0.00019,0.00059,0.00043,0.00188,0.00881
1403637151.689097404479980,0.01237,0.00010,0.00014,0.00077,0.00260,0.00149,0.01746
1403637151.739125967025757,0.00243,0.00010,0.00018,0.00081,0.00055,0.00144,0.00552
1403637151.789172649383545,0.00265,0.00009,0.00002,0.00078,0.00000,0.00136,0.00491
1403637151.839173793792725,0.00282,0.00011,0.00018,0.00073,0.00008,0.00136,0.00529
1403637151.889202833175659,0.00644,0.00014,0.00022,0.00059,0.00031,0.00275,0.01044
1403637151.939189195632935,0.00245,0.00010,0.00020,0.00128,0.00057,0.00171,0.00631
1403637151.989190101623535,0.00510,0.00010,0.00024,0.00070,0.00146,0.00139,0.00899
1403637152.039183378219604,0.00609,0.00010,0.00014,0.00080,0.00030,0.00224,0.00967
1403637152.089254140853882,0.00286,0.00010,0.00029,0.00080,0.00170,0.00179,0.00755
1403637152.139294147491455,0.00960,0.00012,0.00033,0.00153,0.00168,0.00131,0.01456
1403637152.189264297485352,0.00296,0.00010,0.00011,0.00086,0.00114,0.00144,0.00661
1403637152.239312171936035,0.00204,0.00010,0.00009,0.00103,0.00000,0.00137,0.00463
1403637152.289280414581299,0.00720,0.00011,0.00018,0.00092,0.00110,0.00157,0.01108
1403637152.339346885681152,0.00976,0.00011,0.00009,0.00109,0.00045,0.00171,0.01321
1403637152.389447689056396,0.00324,0.00011,0.00025,0.00109,0.00039,0.00134,0.00643
1403637152.439355850219727,0.01653,0.00010,0.00024,0.00119,0.00006,0.00192,0.02006
1403637152.489417552947998,0.00230,0.00011,0.00003,0.00121,0.00368,0.00242,0.00974
1403637152.539377689361572,0.00341,0.00012,0.00009,0.00181,0.00014,0.00153,0.00710
1403637152.589299917221069,0.01006,0.00057,0.00009,0.00186,0.00338,0.00386,0.01982
1403637152.639340400695801,0.00283,0.00012,0.00009,0.00187,0.00053,0.00150,0.00694
1403637152.689407825469971,0.00251,0.00012,0.00009,0.00196,0.00205,0.00142,0.00816
1403637152.739482402801514,0.01602,0.00013,0.00043,0.00341,0.00012,0.00158,0.02169
1403637152.789582014083862,0.00504,0.00012,0.00005,0.00175,0.00028,0.00153,0.00877
1403637152.839700222015381,0.00262,0.00012,0.00020,0.00184,0.00014,0.00150,0.00643
1403637152.889739036560059,0.00378,0.00013,0.00011,0.00223,0.00159,0.00134,0.00920
1403637152.939702987670898,0.00305,0.00012,0.00011,0.00184,0.00029,0.00168,0.00709
1403637152.989669561386108,0.00274,0.00011,0.00010,0.00167,0.00029,0.00125,0.00616
1403637153.039659976959229,0.00387,0.00014,0.00009,0.00157,0.00006,0.00167,0.00739
1403637153.089661121368408,0.00225,0.00011,0.00038,0.00147,0.00013,0.00128,0.00561
1403637153.139620780944824,0.00252,0.00010,0.00023,0.00155,0.00003,0.00135,0.00578
1403637153.189660787582397,0.00405,0.00018,0.00023,0.00141,0.00283,0.00149,0.01018
1403637153.239642381668091,0.00497,0.00012,0.00005,0.00180,0.00017,0.00161,0.00872
1403637153.289622306823730,0.00462,0.00012,0.00018,0.00185,0.00119,0.00187,0.00983
1403637153.339663743972778,0.00408,0.00018,0.00013,0.00184,0.00008,0.00146,0.00776
1403637153.389724493026733,0.00287,0.00012,0.00003,0.00183,0.00029,0.00137,0.00651
1403637153.439697980880737,0.00286,0.00018,0.00008,0.00251,0.00000,0.00140,0.00701
1403637153.489803791046143,0.00995,0.00023,0.00003,0.00169,0.00070,0.00138,0.01398
1403637153.539879560470581,0.00339,0.00012,0.00007,0.00187,0.00038,0.00134,0.00719
1403637153.589778900146484,0.00358,0.00018,0.00008,0.00181,0.00497,0.00139,0.01202
1403637153.639621496200562,0.00407,0.00013,0.00009,0.00214,0.00006,0.00153,0.00802
1403637153.689511060714722,0.00213,0.00017,0.00016,0.00212,0.00051,0.00137,0.00646
1403637153.739507436752319,0.00200,0.00012,0.00031,0.00213,0.00013,0.00136,0.00605
1403637153.789476633071899,0.00876,0.00014,0.00008,0.00215,0.00122,0.00204,0.01439
1403637153.839484453201294,0.00780,0.00013,0.00006,0.00234,0.00016,0.00164,0.01214
1403637153.889520168304443,0.00286,0.00011,0.00041,0.00205,0.00483,0.00141,0.01168
1403637153.939525127410889,0.00351,0.00016,0.00006,0.00203,0.00006,0.00140,0.00722
1403637153.989521503448486,0.00218,0.00011,0.00025,0.00208,0.00040,0.00194,0.00697
1403637154.039541006088257,0.00250,0.00013,0.00003,0.00212,0.00000,0.00142,0.00619
1403637154.089606523513794,0.00307,0.00012,0.00003,0.00201,0.00049,0.00169,0.00740
1403637154.139643192291260,0.00238,0.00012,0.00006,0.00206,0.00114,0.00140,0.00716
1403637154.189604759216309,0.00772,0.00012,0.00147,0.00174,0.00622,0.00173,0.01901
1403637154.239490985870361,0.00362,0.00013,0.00003,0.00259,0.00007,0.00136,0.00781
1403637154.289378643035889,0.00259,0.00011,0.00006,0.00229,0.00011,0.00179,0.00695
1403637154.339305639266968,0.00299,0.00011,0.00011,0.00231,0.00002,0.00135,0.00689
1403637154.389237165451050,0.01566,0.00014,0.00005,0.00321,0.00196,0.00148,0.02251
1403637154.439055681228638,0.00192,0.00012,0.00006,0.00237,0.00017,0.00157,0.00623
1403637154.489044666290283,0.00699,0.00012,0.00001,0.00223,0.00167,0.00186,0.01289
1403637154.539064168930054,0.00804,0.00015,0.00012,0.00232,0.00017,0.00173,0.01252
1403637154.589093685150146,0.00232,0.00011,0.00027,0.00195,0.00087,0.00156,0.00708
1403637154.639216899871826,0.00248,0.00011,0.00004,0.00724,0.00000,0.00154,0.01142
1403637154.689416408538818,0.00397,0.00015,0.00030,0.00190,0.00106,0.00730,0.01469
1403637154.739398956298828,0.00915,0.00014,0.00009,0.00180,0.00003,0.00146,0.01266
1403637154.789365530014038,0.00550,0.00011,0.00006,0.00185,0.00527,0.00156,0.01435
1403637154.839412689208984,0.00264,0.00012,0.00025,0.00294,0.00004,0.00145,0.00743
1403637154.889434099197388,0.00820,0.00012,0.00003,0.00241,0.00025,0.00829,0.01930
1403637154.939479827880859,0.00313,0.00011,0.00037,0.00219,0.01762,0.00702,0.03045
1403637154.989475965499878,0.00244,0.00012,0.00017,0.00259,0.00003,0.00157,0.00692
1403637155.039475679397583,0.00858,0.00012,0.00006,0.00271,0.00018,0.00143,0.01309
1403637155.089439868927002,0.00375,0.00014,0.00032,0.00267,0.00066,0.00140,0.00893
1403637155.139457702636719,0.00299,0.00013,0.00608,0.00297,0.00006,0.00207,0.01430
1403637155.189456701278687,0.00895,0.00014,0.00009,0.00769,0.00018,0.00156,0.01861
1403637155.239412546157837,0.00290,0.00011,0.00015,0.00208,0.00011,0.00139,0.00674
1403637155.289401769638062,0.00254,0.00018,0.00055,0.00335,0.00007,0.00142,0.00811
1403637155.339389324188232,0.00265,0.00011,0.00018,0.00216,0.00028,0.00128,0.00665
1403637155.389384746551514,0.00870,0.00012,0.00017,0.00160,0.00156,0.00169,0.01383
1403637155.439334154129028,0.00918,0.00013,0.00026,0.00159,0.00002,0.00143,0.01262
1403637155.489247560501099,0.00478,0.00012,0.00109,0.00174,0.00609,0.00162,0.01544
1403637155.539179563522339,0.00267,0.00012,0.00038,0.00200,0.00021,0.00133,0.00671
1403637155.589124441146851,0.00287,0.00011,0.00004,0.00211,0.00080,0.00151,0.00743
1403637155.639058351516724,0.01400,0.00014,0.00030,0.00290,0.00023,0.00151,0.01908
1403637155.689024209976196,0.02644,0.00020,0.00002,0.02429,0.00047,0.01267,0.06410
1403637155.739003181457520,0.04270,0.00013,0.00034,0.00197,0.00015,0.00176,0.04705
1403637155.788940191268921,0.00270,0.00015,0.00002,0.00227,0.00566,0.00161,0.01241
1403637155.838927507400513,0.00227,0.00013,0.00001,0.00292,0.00000,0.00257,0.00789
1403637155.888847827911377,0.00272,0.00013,0.00009,0.00251,0.00088,0.00157,0.00790
1403637155.938804864883423,0.00215,0.00012,0.00003,0.00248,0.00019,0.00153,0.00651
1403637155.988774538040161,0.00246,0.00011,0.00013,0.00202,0.00014,0.00136,0.00622
1403637156.038744688034058,0.00384,0.00016,0.00030,0.00239,0.00078,0.00159,0.00906
1403637156.088697433471680,0.00291,0.00013,0.00319,0.00168,0.00269,0.00142,0.01203
1403637156.138682603836060,0.00417,0.00013,0.00009,0.00210,0.00040,0.00145,0.00833
1403637156.188679933547974,0.00426,0.00015,0.00026,0.00201,0.00006,0.00146,0.00821
1403637156.238670349121094,0.00199,0.00012,0.00004,0.00203,0.00000,0.00141,0.00560
1403637156.288662195205688,0.00292,0.00011,0.00009,0.00184,0.00038,0.00141,0.00675
1403637156.338661909103394,0.00212,0.00011,0.00004,0.00177,0.00005,0.00279,0.00688
1403637156.388638496398926,0.00183,0.00012,0.00025,0.00162,0.00019,0.00144,0.00545
1403637156.438606500625610,0.00240,0.00012,0.00015,0.00168,0.00002,0.00156,0.00593
1403637156.488609075546265,0.00259,0.00011,0.00040,0.00166,0.00006,0.00154,0.00636
1403637156.538596391677856,0.00273,0.00011,0.00087,0.00145,0.00000,0.00145,0.00662
1403637156.588596582412720,0.00254,0.00015,0.00023,0.01422,0.00073,0.00147,0.01933
1403637156.638590812683105,0.00398,0.00011,0.00107,0.00132,0.00002,0.00127,0.00778
1403637156.688573598861694,0.00208,0.00011,0.00077,0.00131,0.00736,0.00147,0.01310
1403637156.738577604293823,0.00333,0.00012,0.00004,0.00198,0.00114,0.00140,0.00801
1403637156.788578510284424,0.01009,0.00015,0.00010,0.00202,0.00028,0.00149,0.01412
1403637156.838566541671753,0.00289,0.00012,0.00006,0.00184,0.00000,0.00133,0.00624
1403637156.888559341430664,0.00277,0.00012,0.00016,0.00180,0.00018,0.00143,0.00647
1403637156.938548564910889,0.00510,0.00021,0.00012,0.00309,0.00006,0.00130,0.00989
1403637156.988565444946289,0.00247,0.00012,0.00029,0.00178,0.00144,0.00134,0.00743
1403637157.038604021072388,0.00263,0.00011,0.00033,0.00198,0.00000,0.00145,0.00650
1403637157.088619470596313,0.00710,0.00011,0.00010,0.00183,0.00154,0.00216,0.01284
1403637157.138667583465576,0.00241,0.00012,0.00006,0.00213,0.00000,0.00160,0.00632
1403637157.188708305358887,0.00252,0.00011,0.00045,0.00196,0.01065,0.00131,0.01702
1403637157.238737821578979,0.00390,0.00016,0.00007,0.00403,0.00062,0.00156,0.01034
1403637157.288757801055908,0.00334,0.00020,0.00415,0.00378,0.00299,0.00144,0.01589
1403637157.338773965835571,0.00280,0.00017,0.00015,0.00422,0.00023,0.00154,0.00911
1403637157.388825654983521,0.00498,0.00014,0.00004,0.00407,0.00048,0.00140,0.01109
1403637157.438885927200317,0.00580,0.00013,0.00005,0.00425,0.00000,0.00132,0.01156
1403637157.488912582397461,0.00257,0.00012,0.00025,0.00541,0.00031,0.00146,0.01013
1403637157.538924455642700,0.00435,0.00020,0.00045,0.00418,0.00096,0.00148,0.01162
1403637157.588955163955688,0.00253,0.00012,0.00045,0.00449,0.00060,0.00186,0.01006
1403637157.638963460922241,0.00307,0.00015,0.00006,0.00463,0.00000,0.00141,0.00932
1403637157.688959598541260,0.00388,0.00015,0.00296,0.00460,0.00013,0.00145,0.01317
1403637157.738990783691406,0.00262,0.00014,0.00012,0.00427,0.00000,0.00147,0.00863
1403637157.789041996002197,0.00277,0.00013,0.00008,0.00414,0.00017,0.00139,0.00868
1403637157.839059591293335,0.00265,0.00015,0.00004,0.00410,0.00000,0.00137,0.00831
1403637157.889048337936401,0.00228,0.00012,0.00441,0.00359,0.00147,0.00129,0.01316
1403637157.939040184020996,0.00245,0.00014,0.00249,0.00375,0.00062,0.00127,0.01073
1403637157.989013433456421,0.00348,0.00015,0.00029,0.00328,0.00003,0.00143,0.00866
1403637158.038998603820801,0.00300,0.00013,0.00012,0.00326,0.00003,0.00141,0.00796
1403637158.088968992233276,0.00384,0.00014,0.00010,0.00291,0.00065,0.00144,0.00909
1403637158.138951539993286,0.00390,0.00014,0.00004,0.00334,0.00183,0.00141,0.01066
1403637158.188943386077881,0.00252,0.00014,0.00014,0.00380,0.00047,0.00137,0.00843
1403637158.238918781280518,0.00307,0.00014,0.00023,0.00332,0.00000,0.00184,0.00860
1403637158.288891315460205,0.00330,0.00014,0.00029,0.00307,0.00354,0.00141,0.01176
1403637158.338855743408203,0.00189,0.00013,0.00064,0.00418,0.00004,0.00152,0.00840
1403637158.388844728469849,0.00234,0.00013,0.00320,0.00308,0.00298,0.00131,0.01305
1403637158.438827514648438,0.00214,0.00014,0.00004,0.00402,0.00000,0.00148,0.00783
1403637158.488812685012817,0.00247,0.00013,0.00202,0.00306,0.00259,0.00159,0.01186
1403637158.538793087005615,0.00335,0.00016,0.00200,0.00353,0.00044,0.00148,0.01097
1403637158.588775396347046,0.00432,0.00015,0.00036,0.00407,0.00017,0.00126,0.01033
1403637158.638765335083008,0.00356,0.00029,0.00029,0.00523,0.00110,0.00156,0.01203
1403637158.688746929168701,0.00261,0.00013,0.00013,0.00346,0.00102,0.00146,0.00881
1403637158.738743543624878,0.00451,0.00015,0.00022,0.00325,0.00002,0.00147,0.00963
1403637158.788735151290894,0.00241,0.00013,0.00040,0.00269,0.00018,0.00145,0.00727
1403637158.838727474212646,0.00273,0.00013,0.00115,0.00287,0.00594,0.00139,0.01422
1403637158.888717889785767,0.00472,0.00016,0.00032,0.00356,0.00089,0.00147,0.01113
