# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638524.82783 -0.233691 0.175784 1.138723 0.584573 -0.524146 0.490872 0.377611 0.0007872178 0.0000001566 0.0000001064 0.0007877891 0.0000003030 0.0007872254 0.0179723116 0.0000188901 0.0006192225 0.0179829826 -0.0004636764 0.0027321328
1403638524.87783 -0.262158 0.199967 1.216919 0.582981 -0.523849 0.493764 0.376712 0.0008273977 0.0000001431 0.0000001063 0.0008281597 0.0000003599 0.0008274114 0.0212701952 0.0000245300 0.0007701388 0.0212831175 -0.0005864351 0.0027746023
1403638524.92783 -0.293141 0.226569 1.293137 0.582091 -0.522667 0.497316 0.375053 0.0008695582 0.0000001387 0.0000001076 0.0008705317 0.0000004225 0.0008695812 0.0250658986 0.0000316817 0.0009509932 0.0250814655 -0.0007356899 0.0028238076
1403638524.97783 -0.326701 0.256021 1.366447 0.581721 -0.520278 0.502007 0.372693 0.0009136960 0.0000001506 0.0000001133 0.0009149043 0.0000004902 0.0009137303 0.0294033239 0.0000407561 0.0011661305 0.0294218401 -0.0009171343 0.0028808152
1403638525.02783 -0.362913 0.287810 1.436372 0.581044 -0.517821 0.504874 0.373298 0.0009598068 0.0000001720 0.0000001226 0.0009612705 0.0000005699 0.0009598589 0.0343308492 0.0000520278 0.0014204774 0.0343528834 -0.0011331083 0.0029465487
1403638525.07783 -0.401468 0.321399 1.502372 0.580319 -0.515587 0.505664 0.376437 0.0010078906 0.0000001897 0.0000001303 0.0010096358 0.0000006550 0.0010079639 0.0398981168 0.0000656549 0.0017174298 0.0399244405 -0.0013852811 0.0030217474
1403638525.12783 -0.441719 0.356633 1.564990 0.580210 -0.513078 0.506937 0.378314 0.0010579493 0.0000002069 0.0000001360 0.0010600097 0.0000007285 0.0010580353 0.0461688364 0.0000817271 0.0020585219 0.0462000473 -0.0016770507 0.0031070373
1403638525.17783 -0.484614 0.394075 1.625303 0.580711 -0.510883 0.508033 0.379045 0.0011099905 0.0000002337 0.0000001424 0.0011123870 0.0000007926 0.0011100816 0.0532201649 0.0001010654 0.0024546577 0.0532572743 -0.0020165504 0.0032043475
1403638525.22783 -0.530286 0.434114 1.684420 0.582255 -0.509092 0.508384 0.378616 0.0011640265 0.0000002699 0.0000001484 0.0011667675 0.0000008439 0.0011641148 0.0611387699 0.0001243652 0.0029137373 0.0611827816 -0.0024124632 0.0033154134
1403638525.27783 -0.578622 0.477142 1.742914 0.584783 -0.508472 0.508040 0.376006 0.0012200794 0.0000003269 0.0000001566 0.0012231469 0.0000008826 0.0012201527 0.0700136523 0.0001523589 0.0034426305 0.0700652481 -0.0028748756 0.0034420557
1403638525.32783 -0.629568 0.522931 1.801577 0.588931 -0.508739 0.506000 0.371898 0.0012781726 0.0000003955 0.0000001644 0.0012815233 0.0000009099 0.0012782200 0.0799455553 0.0001855817 0.0040492652 0.0800056348 -0.0034105431 0.0035859004
