# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638525.027829408645630,0.00309,0.00007,0.00022,0.00000,0.00000,0.00130,0.00468
1403638525.077829599380493,0.00439,0.00007,0.00045,0.00000,0.00024,0.00130,0.00646
1403638525.127829551696777,0.00348,0.00007,0.00035,0.00000,0.00000,0.00119,0.00509
1403638525.177829504013062,0.00272,0.00007,0.00003,0.00000,0.00000,0.00148,0.00430
1403638525.227829456329346,0.00297,0.00009,0.00005,0.00000,0.00000,0.00176,0.00489
1403638525.277829408645630,0.00373,0.00008,0.00006,0.00000,0.00000,0.00156,0.00542
1403638525.327829599380493,0.00444,0.00008,0.00013,0.00000,0.00000,0.00132,0.00596
1403638525.377829551696777,0.00416,0.00009,0.00007,0.00000,0.00000,0.00157,0.00590
1403638525.427829504013062,0.00275,0.00008,0.00009,0.00000,0.00000,0.00140,0.00432
1403638525.477829456329346,0.00282,0.00007,0.00024,0.00000,0.00000,0.00124,0.00437
1403638525.527829408645630,0.00626,0.00010,0.00013,0.00000,0.00000,0.00137,0.00785
1403638525.577829599380493,0.00778,0.00011,0.00019,0.00000,0.00000,0.00162,0.00970
1403638525.627829551696777,0.00355,0.00011,0.00014,0.00000,0.00000,0.00169,0.00548
1403638525.677829504013062,0.00486,0.00008,0.00017,0.00000,0.00081,0.00208,0.00800
1403638525.727829456329346,0.00761,0.00008,0.00022,0.00000,0.00024,0.00132,0.00947
1403638525.777829408645630,0.00824,0.00008,0.00013,0.00000,0.00000,0.00152,0.00997
1403638525.827829599380493,0.00419,0.00008,0.00013,0.00000,0.00000,0.00158,0.00598
1403638525.877829551696777,0.00393,0.00008,0.00007,0.00000,0.00000,0.00138,0.00546
1403638525.927829504013062,0.00425,0.00008,0.00007,0.00000,0.00000,0.00157,0.00597
1403638525.977829456329346,0.00334,0.00009,0.00015,0.00000,0.00000,0.00143,0.00501
1403638526.027829408645630,0.00566,0.00017,0.00020,0.00000,0.00004,0.00175,0.00782
1403638526.077829599380493,0.00964,0.00026,0.00006,0.00000,0.00003,0.00167,0.01165
1403638526.127829551696777,0.00413,0.00008,0.00011,0.00000,0.00003,0.00152,0.00588
1403638526.177829504013062,0.00303,0.00008,0.00008,0.00000,0.00031,0.00128,0.00478
1403638526.227829456329346,0.00302,0.00008,0.00016,0.00000,0.00000,0.00135,0.00461
1403638526.276886224746704,0.00304,0.00009,0.00030,0.00000,0.00041,0.00138,0.00523
1403638526.326886415481567,0.00706,0.00011,0.00028,0.00000,0.00083,0.00139,0.00967
1403638526.382312536239624,0.00379,0.00008,0.00025,0.00000,0.00062,0.00283,0.00757
1403638526.432312488555908,0.00365,0.00011,0.00011,0.00000,0.00005,0.00140,0.00532
1403638526.483573198318481,0.00274,0.00009,0.00017,0.00000,0.00037,0.00145,0.00481
1403638526.533573150634766,0.00363,0.00009,0.00014,0.00000,0.00033,0.00145,0.00564
1403638526.583573341369629,0.00340,0.00010,0.00016,0.00000,0.00000,0.00156,0.00522
1403638526.633573293685913,0.00300,0.00008,0.00021,0.00000,0.00008,0.00135,0.00472
1403638526.683573246002197,0.00277,0.00009,0.00017,0.00000,0.00000,0.00134,0.00438
1403638526.733573198318481,0.00387,0.00008,0.00006,0.00000,0.00044,0.00140,0.00585
1403638526.783573150634766,0.00810,0.00008,0.00008,0.00000,0.00014,0.00128,0.00969
1403638526.833573341369629,0.00359,0.00009,0.00019,0.00000,0.00002,0.00162,0.00551
1403638526.883573293685913,0.00266,0.00008,0.00014,0.00000,0.00043,0.00134,0.00466
1403638526.933573246002197,0.00679,0.00018,0.00032,0.00000,0.00039,0.00153,0.00921
1403638526.998831033706665,0.00264,0.00008,0.00018,0.00000,0.00019,0.00177,0.00487
1403638527.048830986022949,0.00316,0.00013,0.00011,0.00000,0.00000,0.00164,0.00504
1403638527.098831176757812,0.00267,0.00008,0.00008,0.00000,0.00015,0.00134,0.00433
1403638527.148831129074097,0.00316,0.00008,0.00017,0.00000,0.00000,0.00131,0.00473
1403638527.198831081390381,0.00239,0.00008,0.00016,0.00000,0.00007,0.00137,0.00407
1403638527.248831033706665,0.00294,0.00010,0.00008,0.00000,0.00000,0.00144,0.00456
1403638527.298830986022949,0.00298,0.00008,0.00006,0.00002,0.00007,0.00150,0.00471
1403638527.348831176757812,0.00356,0.00009,0.00009,0.00000,0.00003,0.00191,0.00567
1403638527.398831129074097,0.00412,0.00009,0.00006,0.00000,0.00029,0.00129,0.00585
1403638527.448831081390381,0.00230,0.00008,0.00002,0.00000,0.00000,0.00130,0.00369
1403638527.498831033706665,0.00270,0.00008,0.00002,0.00000,0.00046,0.00150,0.00476
1403638527.548830986022949,0.00339,0.00008,0.00004,0.00000,0.00020,0.00166,0.00537
1403638527.598831176757812,0.00272,0.00009,0.00004,0.00000,0.00014,0.00137,0.00436
1403638527.648831129074097,0.00267,0.00008,0.00002,0.00000,0.00000,0.00144,0.00421
1403638527.698831081390381,0.00254,0.00012,0.00011,0.00000,0.00083,0.00131,0.00493
1403638527.748831033706665,0.00335,0.00011,0.00006,0.00000,0.00000,0.00142,0.00495
1403638527.798830986022949,0.00261,0.00007,0.00024,0.00000,0.00005,0.00133,0.00431
1403638527.848831176757812,0.00236,0.00008,0.00008,0.00000,0.00009,0.00133,0.00394
1403638527.898831129074097,0.00282,0.00008,0.00005,0.00000,0.00006,0.00128,0.00430
1403638527.948831081390381,0.00258,0.00008,0.00004,0.00000,0.00002,0.00183,0.00456
1403638527.998831033706665,0.00345,0.00008,0.00006,0.00000,0.00004,0.00144,0.00506
1403638528.048830986022949,0.00768,0.00009,0.00012,0.00000,0.00002,0.00155,0.00946
1403638528.098831176757812,0.00435,0.00009,0.00006,0.00000,0.00041,0.00208,0.00699
1403638528.148831129074097,0.00851,0.00009,0.00009,0.00000,0.00021,0.00128,0.01018
