# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.66214 0.006193 -0.030175 0.025532 0.568551 -0.589535 0.393444 0.417614 0.0007647992 -0.0000000111 -0.0000000024 0.0007648307 0.0000000086 0.0007647968 0.0115937113 0.0000001150 -0.0000142357 0.0115932563 0.0000649391 0.0026764232
1403715278.71214 0.009154 -0.038947 0.036947 0.566417 -0.589650 0.396016 0.417919 0.0008039767 -0.0000000162 -0.0000000035 0.0008040298 0.0000000136 0.0008039743 0.0137945236 0.0000002207 -0.0000235852 0.0137937565 0.0000947984 0.0027057474
1403715278.76214 0.012452 -0.048660 0.051580 0.563947 -0.588793 0.399412 0.419233 0.0008451429 -0.0000000212 -0.0000000049 0.0008452274 0.0000000233 0.0008451426 0.0164054759 0.0000003789 -0.0000358436 0.0164042668 0.0001331489 0.0027388228
1403715278.81214 0.016005 -0.058944 0.068562 0.562370 -0.587887 0.401857 0.420286 0.0008882952 -0.0000000264 -0.0000000064 0.0008884242 0.0000000367 0.0008882982 0.0194762808 0.0000005958 -0.0000512806 0.0194744930 0.0001802420 0.0027759763
1403715278.86170 0.011595 -0.037577 0.084866 0.557605 -0.588544 0.405484 0.422227 0.0006973708 -0.0000088663 -0.0001075608 0.0001370888 0.0000058425 0.0001669392 0.0028341626 -0.0000517895 0.0000516622 0.0031675250 -0.0000492628 0.0027694033
1403715278.91250 0.012583 -0.057422 0.096971 0.558710 -0.588478 0.405478 0.420862 0.0003824922 0.0000030801 -0.0001137670 0.0000277899 -0.0000004175 0.0000535597 0.0025530146 -0.0000054937 0.0000113162 0.0025773084 0.0000057585 0.0026225640
1403715278.96239 0.013977 -0.066101 0.115794 0.558206 -0.587794 0.406563 0.421440 0.0003783186 0.0000030085 -0.0001150307 0.0000242474 -0.0000001253 0.0000527692 0.0025507158 -0.0000043750 0.0000115464 0.0025764015 0.0000004566 0.0026230735
1403715279.01185 0.014876 -0.073693 0.129634 0.558372 -0.587138 0.406582 0.422115 0.0003754468 0.0000022843 -0.0001153896 0.0000212887 -0.0000002332 0.0000509172 0.0025493534 -0.0000038163 0.0000112653 0.0025763485 -0.0000048646 0.0026295394
1403715279.06177 0.016156 -0.081996 0.141068 0.558587 -0.587205 0.406348 0.421963 0.0003725285 0.0000011416 -0.0001162801 0.0000182607 -0.0000002106 0.0000495593 0.0025480436 -0.0000031622 0.0000098510 0.0025760686 -0.0000078772 0.0026281642
1403715279.11184 0.017717 -0.090773 0.148974 0.558589 -0.587101 0.406216 0.422231 0.0003702078 0.0000003296 -0.0001168493 0.0000156422 -0.0000002098 0.0000482180 0.0025470769 -0.0000024820 0.0000085963 0.0025746056 -0.0000078513 0.0026209382
1403715279.16197 0.018732 -0.098514 0.150065 0.559320 -0.586708 0.405521 0.422479 0.0003684843 0.0000003365 -0.0001175780 0.0000138284 -0.0000004158 0.0000474688 0.0025467636 -0.0000014899 0.0000068821 0.0025709669 -0.0000039867 0.0026080179
1403715279.21192 0.019255 -0.104641 0.145628 0.560136 -0.586620 0.404412 0.422581 0.0003669058 0.0000005652 -0.0001183399 0.0000123448 -0.0000005832 0.0000470237 0.0025464304 -0.0000006346 0.0000055517 0.0025664324 -0.0000002110 0.0025973601
1403715279.26170 0.019452 -0.108582 0.136392 0.560686 -0.586378 0.404021 0.422562 0.0003648402 0.0000003685 -0.0001188846 0.0000100957 -0.0000005545 0.0000464058 0.0025447037 -0.0000001035 0.0000038020 0.0025613709 0.0000030416 0.0025831798
1403715279.31167 0.019954 -0.113879 0.130895 0.561233 -0.586797 0.403417 0.421832 0.0003636745 0.0000002518 -0.0001196325 0.0000091200 -0.0000005385 0.0000462663 0.0025438408 0.0000001447 0.0000026280 0.0025578530 0.0000042909 0.0025735532
1403715279.36166 0.020191 -0.119565 0.126588 0.561467 -0.587566 0.403083 0.420768 0.0003623048 -0.0000003907 -0.0001205427 0.0000082459 -0.0000003268 0.0000464177 0.0025425728 0.0000005077 0.0000020932 0.0025541850 0.0000030830 0.0025669956
1403715279.41170 0.020287 -0.123583 0.124007 0.561329 -0.587877 0.403676 0.419948 0.0003617964 -0.0000011893 -0.0001206952 0.0000074755 -0.0000000251 0.0000462122 0.0025419407 0.0000003537 0.0000015410 0.0025519250 0.0000006928 0.0025620815
1403715279.46180 0.019682 -0.127793 0.120698 0.561799 -0.588260 0.403342 0.419103 0.0003604857 -0.0000014335 -0.0001215278 0.0000065283 0.0000001791 0.0000465106 0.0025402932 0.0000003742 0.0000010987 0.0025492442 -0.0000013873 0.0025561959
1403715279.51182 0.018787 -0.131288 0.119508 0.561961 -0.588300 0.403512 0.418666 0.0003600308 -0.0000016874 -0.0001215921 0.0000058506 0.0000003605 0.0000463442 0.0025385552 0.0000003195 0.0000011414 0.0025461006 -0.0000034675 0.0025507957
1403715279.56176 0.018579 -0.134978 0.120828 0.562294 -0.587772 0.403233 0.419229 0.0003600607 -0.0000010064 -0.0001213816 0.0000056257 0.0000001552 0.0000461221 0.0025377799 0.0000002805 0.0000009347 0.0025444779 -0.0000045019 0.0025486093
1403715279.61168 0.018101 -0.138253 0.123245 0.562609 -0.587945 0.402768 0.419011 0.0003596528 -0.0000008708 -0.0001217490 0.0000054242 0.0000001376 0.0000463535 0.0025369254 0.0000004130 0.0000006874 0.0025427228 -0.0000052579 0.0025460387
