# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715528.862246990203857,0.00255,0.00007,0.00059,0.00000,0.00000,0.00123,0.00445
1403715528.911701679229736,0.00272,0.00007,0.00169,0.00000,0.00110,0.00126,0.00685
1403715528.960672140121460,0.00259,0.00009,0.00024,0.00010,0.00000,0.00142,0.00444
1403715529.010812520980835,0.01127,0.00010,0.00014,0.00010,0.00000,0.00140,0.01301
1403715529.061355829238892,0.00440,0.00008,0.00010,0.00015,0.00000,0.00168,0.00641
1403715529.113261461257935,0.00196,0.00008,0.00021,0.00014,0.00000,0.00120,0.00358
1403715529.163849592208862,0.00254,0.00008,0.00038,0.00009,0.00000,0.00122,0.00431
1403715529.213303327560425,0.00282,0.00009,0.00073,0.00015,0.00000,0.00141,0.00520
1403715529.263107538223267,0.00321,0.00014,0.00049,0.00009,0.00007,0.00160,0.00561
1403715529.312649965286255,0.00289,0.00009,0.00049,0.00013,0.00000,0.00149,0.00509
1403715529.362419843673706,0.00268,0.00008,0.00029,0.00012,0.00014,0.00129,0.00460
1403715529.412108182907104,0.00321,0.00008,0.00050,0.00014,0.00103,0.00139,0.00635
1403715529.462357521057129,0.00325,0.00008,0.00064,0.00015,0.00304,0.00139,0.00855
1403715529.511938810348511,0.00331,0.00011,0.00028,0.00053,0.00600,0.00136,0.01158
1403715529.561397790908813,0.00597,0.00011,0.00031,0.00164,0.00000,0.00147,0.00951
1403715529.610768795013428,0.00291,0.00011,0.00049,0.00100,0.00410,0.00165,0.01026
1403715529.660653352737427,0.00308,0.00011,0.00012,0.00137,0.00000,0.00145,0.00611
1403715529.710482597351074,0.00821,0.00010,0.00008,0.00120,0.00093,0.00130,0.01182
1403715529.760627269744873,0.00384,0.00010,0.00043,0.00170,0.00469,0.00315,0.01392
1403715529.810873985290527,0.00862,0.00013,0.00184,0.00207,0.00142,0.00158,0.01565
1403715529.860893726348877,0.00486,0.00016,0.00083,0.00358,0.00436,0.00171,0.01549
1403715529.910995721817017,0.00254,0.00013,0.00015,0.00262,0.00136,0.00148,0.00829
1403715529.960965156555176,0.00264,0.00013,0.00069,0.00268,0.00755,0.00148,0.01516
1403715530.010936260223389,0.00727,0.00013,0.00048,0.00479,0.00000,0.00168,0.01436
1403715530.061053276062012,0.00298,0.00013,0.00348,0.00384,0.00293,0.00157,0.01492
1403715530.110999107360840,0.00348,0.00017,0.00034,0.00397,0.00014,0.00136,0.00945
1403715530.161591053009033,0.00379,0.00015,0.00011,0.00419,0.00002,0.00133,0.00960
1403715530.211915254592896,0.00359,0.00013,0.00005,0.00364,0.00028,0.00132,0.00901
1403715530.262194395065308,0.00314,0.00026,0.00509,0.00393,0.00263,0.00140,0.01645
1403715530.312117338180542,0.00257,0.00014,0.00018,0.00426,0.00000,0.00136,0.00851
1403715530.362024068832397,0.00850,0.00016,0.00015,0.00483,0.00000,0.00194,0.01558
1403715530.411921977996826,0.00205,0.00014,0.00005,0.00622,0.00000,0.00165,0.01011
1403715530.461880683898926,0.00229,0.00017,0.00393,0.00418,0.00017,0.00153,0.01227
1403715530.511923789978027,0.00285,0.00016,0.00137,0.00413,0.00018,0.00152,0.01022
1403715530.561897277832031,0.00738,0.00017,0.00019,0.00391,0.00031,0.00200,0.01398
1403715530.611864805221558,0.00269,0.00014,0.00040,0.00368,0.00000,0.00138,0.00828
1403715530.661829471588135,0.00256,0.00013,0.00089,0.00866,0.00393,0.00142,0.01759
1403715530.711812734603882,0.00236,0.00015,0.00021,0.00431,0.00000,0.00184,0.00887
1403715530.761795520782471,0.00317,0.00013,0.00787,0.00420,0.00095,0.00140,0.01773
1403715530.811770915985107,0.00290,0.00015,0.00042,0.00482,0.00020,0.00176,0.01024
1403715530.861745834350586,0.00540,0.00017,0.00316,0.00432,0.00000,0.00151,0.01457
1403715530.911726951599121,0.00396,0.00015,0.00044,0.00452,0.00016,0.00139,0.01062
1403715530.961739778518677,0.00290,0.00023,0.00051,0.00471,0.00018,0.00164,0.01017
1403715531.011743068695068,0.00590,0.00017,0.00089,0.00487,0.00000,0.00149,0.01333
1403715531.061709165573120,0.00537,0.00016,0.00167,0.00557,0.00091,0.00165,0.01533
1403715531.111682415008545,0.00678,0.00014,0.00031,0.00425,0.00034,0.00176,0.01358
1403715531.161680698394775,0.00645,0.00033,0.00007,0.00622,0.00017,0.00146,0.01470
1403715531.211730241775513,0.00320,0.00018,0.00024,0.00445,0.00018,0.00159,0.00985
1403715531.261893749237061,0.00499,0.00015,0.00060,0.00404,0.00095,0.00150,0.01223
1403715531.311889648437500,0.00292,0.00014,0.00030,0.00396,0.00019,0.00142,0.00894
1403715531.361863136291504,0.00319,0.00015,0.00390,0.00352,0.00137,0.00144,0.01358
1403715531.411920785903931,0.00278,0.00013,0.01156,0.00365,0.00033,0.00131,0.01976
1403715531.461937904357910,0.00633,0.00021,0.00083,0.00293,0.00238,0.00156,0.01425
1403715531.511884689331055,0.00223,0.00014,0.00336,0.00312,0.00498,0.00152,0.01536
1403715531.561796426773071,0.00238,0.00014,0.00044,0.00350,0.00014,0.00178,0.00839
1403715531.611712217330933,0.00276,0.00015,0.00021,0.00372,0.00001,0.00159,0.00843
1403715531.661618709564209,0.00270,0.00013,0.00035,0.00325,0.00160,0.00129,0.00932
1403715531.711691379547119,0.00339,0.00013,0.00011,0.00379,0.00015,0.00290,0.01047
1403715531.761797666549683,0.00263,0.00012,0.00007,0.00331,0.00016,0.00130,0.00760
1403715531.811957359313965,0.00308,0.00013,0.00075,0.00392,0.00000,0.00131,0.00919
1403715531.862024784088135,0.00205,0.00013,0.00057,0.00255,0.00050,0.00132,0.00712
1403715531.912043094635010,0.00216,0.00012,0.00086,0.00247,0.00023,0.00191,0.00774
1403715531.962029218673706,0.00269,0.00014,0.00457,0.00275,0.00460,0.00128,0.01603
1403715532.012031793594360,0.00447,0.00022,0.00100,0.00471,0.00053,0.00151,0.01243
1403715532.062040805816650,0.00729,0.00016,0.00003,0.00368,0.00000,0.00173,0.01288
1403715532.112058877944946,0.00239,0.00015,0.00016,0.00908,0.00113,0.00124,0.01416
1403715532.162079334259033,0.00357,0.00015,0.00012,0.00351,0.00000,0.00305,0.01040
1403715532.212094545364380,0.00415,0.00014,0.00029,0.00334,0.00133,0.00164,0.01090
1403715532.262097120285034,0.00339,0.00014,0.00010,0.00361,0.00001,0.00146,0.00871
1403715532.312104701995850,0.00729,0.00013,0.00324,0.00353,0.00311,0.00128,0.01859
1403715532.362087726593018,0.00228,0.00013,0.00007,0.00359,0.00015,0.00146,0.00767
1403715532.412084102630615,0.00745,0.00017,0.00010,0.00341,0.00000,0.00151,0.01265
1403715532.462095260620117,0.00212,0.00013,0.00013,0.00335,0.00015,0.00164,0.00751
1403715532.512113809585571,0.00243,0.00011,0.00010,0.00380,0.00025,0.00199,0.00869
1403715532.562144041061401,0.00231,0.00015,0.00277,0.00358,0.00342,0.00127,0.01350
1403715532.612148761749268,0.00309,0.00014,0.00007,0.00384,0.00265,0.00147,0.01126
1403715532.662154436111450,0.00199,0.00013,0.00027,0.00355,0.00000,0.00129,0.00724
1403715532.712161302566528,0.00331,0.00014,0.00057,0.00412,0.00062,0.00127,0.01003
1403715532.762184143066406,0.00247,0.00013,0.00007,0.00625,0.00000,0.00194,0.01086
1403715532.812197208404541,0.00214,0.00012,0.00054,0.01746,0.00017,0.00148,0.02191
1403715532.862204551696777,0.00213,0.00012,0.00013,0.00371,0.00000,0.00134,0.00743
1403715532.912180900573730,0.00228,0.00012,0.00061,0.00419,0.00219,0.00136,0.01075
1403715532.962155103683472,0.00284,0.00013,0.00007,0.00374,0.00000,0.00140,0.00819
1403715533.012130975723267,0.00902,0.00013,0.00080,0.00336,0.00000,0.00252,0.01584
1403715533.062091588973999,0.00257,0.00013,0.00081,0.00293,0.00647,0.00142,0.01433
1403715533.112051248550415,0.00244,0.00012,0.00024,0.00356,0.00000,0.00129,0.00766
1403715533.161996364593506,0.00405,0.00013,0.00294,0.00397,0.01346,0.00171,0.02626
1403715533.211908817291260,0.00284,0.00014,0.00035,0.00341,0.00037,0.00172,0.00883
1403715533.261883497238159,0.00284,0.00013,0.00013,0.00422,0.00027,0.00189,0.00948
1403715533.311892271041870,0.00258,0.00012,0.00091,0.00293,0.00030,0.00150,0.00834
1403715533.361907720565796,0.00390,0.00017,0.00022,0.00363,0.00015,0.00167,0.00975
1403715533.411947011947632,0.00249,0.00013,0.00058,0.00270,0.00023,0.00123,0.00737
1403715533.461964130401611,0.00329,0.00014,0.00034,0.00270,0.00000,0.00119,0.00766
1403715533.511981964111328,0.00240,0.00012,0.00047,0.00267,0.00106,0.00135,0.00807
1403715533.562009334564209,0.00230,0.00013,0.00041,0.00320,0.00092,0.00151,0.00847
1403715533.612025499343872,0.00252,0.00012,0.00078,0.00324,0.00085,0.00147,0.00897
1403715533.662033319473267,0.00275,0.00016,0.00016,0.00358,0.00078,0.00179,0.00922
1403715533.712026596069336,0.00368,0.00013,0.00076,0.00347,0.00138,0.00146,0.01088
1403715533.762020349502563,0.00958,0.00013,0.00022,0.00325,0.00089,0.00133,0.01540
