# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.783600091934204,0.00290,0.00006,0.00033,0.00000,0.00000,0.00149,0.00478
1403715893.831295013427734,0.00500,0.00034,0.00220,0.00000,0.00339,0.00123,0.01216
1403715893.882853507995605,0.00392,0.00012,0.00006,0.00128,0.00000,0.00155,0.00693
1403715893.933604955673218,0.00502,0.00018,0.00015,0.00127,0.00000,0.00137,0.00799
1403715893.983853578567505,0.00382,0.00010,0.00005,0.00076,0.00000,0.00120,0.00592
1403715894.034008026123047,0.00384,0.00012,0.00049,0.00098,0.00001,0.00134,0.00678
1403715894.084405899047852,0.00331,0.00010,0.00007,0.00078,0.00000,0.00119,0.00545
1403715894.134527921676636,0.00410,0.00010,0.00013,0.00072,0.00000,0.00137,0.00642
1403715894.184480667114258,0.00351,0.00010,0.00008,0.00083,0.00000,0.00140,0.00592
1403715894.234590291976929,0.00455,0.00011,0.00015,0.00116,0.00276,0.00133,0.01005
1403715894.284522771835327,0.00811,0.00011,0.00013,0.00108,0.00122,0.00133,0.01196
1403715894.334393024444580,0.00267,0.00011,0.00047,0.00107,0.00011,0.00217,0.00660
1403715894.384207248687744,0.00504,0.00014,0.00028,0.00144,0.00000,0.00147,0.00838
1403715894.433871030807495,0.00458,0.00011,0.00233,0.00087,0.01184,0.00136,0.02109
1403715894.483556747436523,0.00334,0.00012,0.00010,0.00241,0.00324,0.00127,0.01048
1403715894.533267021179199,0.00497,0.00012,0.00016,0.00400,0.00000,0.00238,0.01164
1403715894.583141565322876,0.00344,0.00014,0.00022,0.00315,0.00000,0.00167,0.00863
1403715894.633191347122192,0.00372,0.00020,0.00037,0.00357,0.00127,0.00157,0.01070
1403715894.683268547058105,0.00740,0.00018,0.00004,0.00471,0.00000,0.00129,0.01363
1403715894.733486890792847,0.00603,0.00024,0.00056,0.00363,0.00000,0.00130,0.01176
1403715894.783715009689331,0.00346,0.00018,0.00040,0.00284,0.00158,0.00164,0.01009
1403715894.833688735961914,0.00437,0.00013,0.00049,0.00293,0.00102,0.00143,0.01039
1403715894.883552551269531,0.00337,0.00013,0.00136,0.00289,0.00330,0.00164,0.01269
1403715894.933485507965088,0.00280,0.00015,0.00004,0.00408,0.00050,0.00152,0.00909
1403715894.983425378799438,0.00488,0.00029,0.00063,0.00438,0.00001,0.00148,0.01167
1403715895.033375740051270,0.00649,0.00017,0.00368,0.00300,0.00172,0.00133,0.01640
1403715895.083366870880127,0.00247,0.00015,0.00008,0.00489,0.00020,0.00153,0.00932
1403715895.133311510086060,0.00375,0.00015,0.00025,0.00340,0.00109,0.00136,0.01000
1403715895.183289051055908,0.00387,0.00018,0.00012,0.00412,0.00016,0.00134,0.00981
