# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393217.155760526657104,0.00193,0.00006,0.00023,0.00000,0.00000,0.00110,0.00333
1413393217.205962657928467,0.00273,0.00007,0.00164,0.00000,0.00464,0.00144,0.01052
1413393217.255923271179199,0.00275,0.00017,0.00018,0.00223,0.00000,0.00164,0.00697
1413393217.305837869644165,0.00258,0.00009,0.00025,0.00188,0.00000,0.00135,0.00615
1413393217.355646610260010,0.00260,0.00010,0.00013,0.00164,0.00000,0.00114,0.00560
1413393217.405621051788330,0.00283,0.00013,0.00017,0.00187,0.00000,0.00138,0.00638
1413393217.455560445785522,0.00262,0.00012,0.00031,0.00199,0.00000,0.00142,0.00647
1413393217.505507946014404,0.00231,0.00015,0.00014,0.00209,0.00000,0.00135,0.00604
1413393217.555562019348145,0.01054,0.00012,0.00015,0.00182,0.00149,0.00171,0.01583
1413393217.605744361877441,0.00753,0.00011,0.00012,0.00204,0.00000,0.00134,0.01114
1413393217.655620336532593,0.00802,0.00012,0.00012,0.00217,0.00000,0.00154,0.01196
1413393217.705604076385498,0.00217,0.00011,0.00020,0.00316,0.00000,0.00139,0.00704
1413393217.755617141723633,0.00201,0.00010,0.00015,0.00217,0.00075,0.00154,0.00673
1413393217.806015491485596,0.00283,0.00013,0.00375,0.00207,0.01393,0.00159,0.02430
1413393217.856065750122070,0.00309,0.00017,0.00021,0.00413,0.00191,0.00124,0.01074
1413393217.906157016754150,0.00225,0.00013,0.00244,0.00449,0.00103,0.00151,0.01185
1413393217.956085681915283,0.00303,0.00020,0.00015,0.00603,0.00019,0.00149,0.01111
1413393218.006163120269775,0.00231,0.00015,0.00013,0.00433,0.00000,0.00132,0.00824
1413393218.056271791458130,0.00269,0.00019,0.00005,0.00516,0.00000,0.00147,0.00957
1413393218.106247425079346,0.00223,0.00017,0.00007,0.00455,0.00003,0.00126,0.00830
1413393218.156395435333252,0.00320,0.00016,0.00008,0.00443,0.00000,0.00127,0.00915
1413393218.206570148468018,0.00339,0.00016,0.00009,0.00476,0.00000,0.00128,0.00968
1413393218.256556749343872,0.01301,0.00015,0.00007,0.00614,0.00026,0.00171,0.02134
1413393218.306564807891846,0.00474,0.00016,0.00006,0.00650,0.00175,0.00142,0.01463
1413393218.356332540512085,0.00374,0.00016,0.00107,0.00442,0.00092,0.00137,0.01169
1413393218.405977010726929,0.00246,0.00018,0.00333,0.00475,0.00020,0.00141,0.01232
1413393218.456048965454102,0.00334,0.00024,0.00070,0.00651,0.00000,0.00131,0.01210
1413393218.506011724472046,0.00219,0.00014,0.00325,0.00433,0.00102,0.00139,0.01232
1413393218.556046962738037,0.00317,0.00017,0.00292,0.00440,0.00000,0.00138,0.01203
1413393218.606080055236816,0.00299,0.00018,0.00235,0.00406,0.00000,0.00192,0.01150
1413393218.656058549880981,0.00271,0.00019,0.00015,0.00464,0.00135,0.00136,0.01040
1413393218.706022500991821,0.00502,0.00021,0.00015,0.00612,0.00000,0.00159,0.01310
1413393218.755919694900513,0.01128,0.00019,0.00028,0.00450,0.00000,0.00158,0.01783
1413393218.805840730667114,0.00511,0.00016,0.00054,0.00383,0.00095,0.00195,0.01254
1413393218.855763435363770,0.00458,0.00032,0.00049,0.00395,0.00000,0.00138,0.01072
1413393218.905730247497559,0.00775,0.00014,0.00012,0.00354,0.00269,0.00177,0.01601
1413393218.955752849578857,0.00414,0.00015,0.00147,0.00440,0.00047,0.00705,0.01769
1413393219.005854129791260,0.00809,0.00014,0.00098,0.00403,0.00018,0.00186,0.01529
1413393219.055917263031006,0.00287,0.00015,0.00005,0.00435,0.00000,0.00139,0.00881
1413393219.105992078781128,0.00297,0.00014,0.00236,0.00407,0.00179,0.00155,0.01288
1413393219.156014919281006,0.00338,0.00017,0.00328,0.00524,0.00000,0.00155,0.01362
1413393219.206055164337158,0.00237,0.00013,0.00274,0.00578,0.00000,0.00156,0.01259
1413393219.256069421768188,0.00196,0.00014,0.00129,0.00454,0.00001,0.00131,0.00925
1413393219.306081533432007,0.00256,0.00038,0.00034,0.00480,0.00000,0.00154,0.00963
1413393219.356087923049927,0.00303,0.00026,0.00017,0.00579,0.00000,0.00176,0.01102
1413393219.406121730804443,0.00298,0.00022,0.00022,0.00508,0.00000,0.00147,0.00998
1413393219.456154823303223,0.00185,0.00013,0.00167,0.00425,0.00195,0.00152,0.01136
1413393219.506258010864258,0.00232,0.00025,0.00302,0.00487,0.00000,0.00151,0.01199
1413393219.556299686431885,0.00161,0.00014,0.00264,0.00461,0.00000,0.00146,0.01046
1413393219.606287002563477,0.00265,0.00016,0.00008,0.00758,0.00000,0.00134,0.01181
1413393219.656313896179199,0.00770,0.00022,0.00002,0.00528,0.00000,0.00155,0.01476
1413393219.706283092498779,0.00664,0.00015,0.00177,0.00451,0.00000,0.00187,0.01494
1413393219.756335973739624,0.00628,0.00015,0.00371,0.00532,0.00000,0.00163,0.01709
1413393219.806358575820923,0.00717,0.00014,0.00014,0.00420,0.00000,0.00190,0.01355
1413393219.856362342834473,0.00784,0.00021,0.00186,0.00430,0.00003,0.00126,0.01550
1413393219.906363964080811,0.00429,0.00024,0.00023,0.00513,0.00026,0.00188,0.01203
1413393219.956376791000366,0.00513,0.00026,0.00050,0.00748,0.00000,0.00141,0.01478
1413393220.006359338760376,0.00326,0.00014,0.00016,0.00442,0.00000,0.00227,0.01026
1413393220.056314468383789,0.00642,0.00013,0.00023,0.00479,0.00055,0.00204,0.01417
1413393220.106249332427979,0.00197,0.00012,0.00054,0.00463,0.00280,0.00148,0.01154
1413393220.156245470046997,0.00218,0.00014,0.00270,0.00538,0.00000,0.00194,0.01234
1413393220.206222295761108,0.00192,0.00016,0.00231,0.00448,0.00000,0.00130,0.01018
1413393220.256216526031494,0.00196,0.00016,0.00041,0.00556,0.00000,0.00141,0.00950
1413393220.306216001510620,0.00259,0.00016,0.00192,0.00456,0.00000,0.00199,0.01123
1413393220.356230020523071,0.01022,0.00018,0.00389,0.00629,0.00000,0.00168,0.02227
1413393220.406223535537720,0.00205,0.00013,0.00088,0.00437,0.00017,0.00131,0.00892
1413393220.456222295761108,0.00182,0.00019,0.00087,0.00456,0.00000,0.00143,0.00887
1413393220.506229877471924,0.00278,0.00014,0.00082,0.00455,0.00000,0.00148,0.00977
1413393220.556267976760864,0.00201,0.00015,0.00524,0.00469,0.00000,0.00149,0.01357
1413393220.606259584426880,0.00173,0.00014,0.00001,0.00513,0.00000,0.00140,0.00841
1413393220.656254768371582,0.00345,0.00017,0.00097,0.00438,0.00017,0.00137,0.01051
1413393220.706269979476929,0.00674,0.00018,0.00008,0.00531,0.00000,0.00131,0.01362
1413393220.756256103515625,0.00287,0.00016,0.00075,0.00516,0.00094,0.00133,0.01121
1413393220.806257963180542,0.00217,0.00016,0.00011,0.00514,0.00000,0.00138,0.00896
1413393220.856233358383179,0.00351,0.00019,0.00052,0.00483,0.00000,0.00133,0.01039
1413393220.906234979629517,0.00266,0.00014,0.00185,0.00544,0.00000,0.00130,0.01139
1413393220.956264734268188,0.00817,0.00015,0.00152,0.00540,0.00000,0.00165,0.01689
1413393221.006309509277344,0.00346,0.00022,0.00008,0.00496,0.00000,0.00139,0.01011
1413393221.056320428848267,0.00197,0.00013,0.00094,0.00643,0.00000,0.00211,0.01158
1413393221.106352567672729,0.00229,0.00023,0.00009,0.00491,0.00000,0.00144,0.00897
1413393221.156391620635986,0.00652,0.00022,0.00241,0.00554,0.00000,0.00141,0.01610
1413393221.206367015838623,0.00272,0.00016,0.00003,0.00613,0.00000,0.00139,0.01042
1413393221.256377935409546,0.00238,0.00015,0.00109,0.00470,0.00015,0.00164,0.01011
1413393221.306320190429688,0.00299,0.00014,0.00003,0.00484,0.00000,0.00137,0.00935
1413393221.356379270553589,0.00246,0.00019,0.00024,0.00480,0.00000,0.00143,0.00913
1413393221.406399965286255,0.00276,0.00017,0.00265,0.00516,0.00000,0.00183,0.01256
1413393221.456398963928223,0.00377,0.00023,0.00068,0.00534,0.00017,0.00140,0.01160
1413393221.506395339965820,0.00266,0.00014,0.00180,0.00616,0.00000,0.00134,0.01211
1413393221.556388139724731,0.00686,0.00016,0.00315,0.00462,0.00000,0.00188,0.01667
1413393221.606386184692383,0.00359,0.00018,0.00094,0.00461,0.00016,0.00151,0.01099
1413393221.656327486038208,0.00977,0.00015,0.00089,0.00484,0.00000,0.00174,0.01739
1413393221.706310749053955,0.00839,0.00014,0.00127,0.00460,0.00000,0.00148,0.01587
1413393221.756288051605225,0.00325,0.00014,0.00422,0.00457,0.00000,0.00140,0.01359
1413393221.806246995925903,0.00669,0.00017,0.00012,0.00456,0.00000,0.00165,0.01319
1413393221.856282711029053,0.00654,0.00026,0.00008,0.00514,0.00099,0.00162,0.01463
1413393221.906309843063354,0.00263,0.00019,0.00021,0.00777,0.00000,0.00130,0.01210
1413393221.956333637237549,0.00223,0.00017,0.00006,0.00546,0.00050,0.00149,0.00991
1413393222.006345748901367,0.00262,0.00022,0.00147,0.00474,0.00000,0.00144,0.01050
1413393222.056371927261353,0.00252,0.00023,0.00009,0.00437,0.00017,0.00151,0.00890
1413393222.106401920318604,0.00290,0.00022,0.00008,0.00509,0.00171,0.00206,0.01206
1413393222.156468152999878,0.00230,0.00014,0.00291,0.00475,0.00019,0.00150,0.01179
1413393222.206521987915039,0.00196,0.00024,0.00003,0.00506,0.00119,0.00148,0.00996
1413393222.256549835205078,0.00206,0.00013,0.00090,0.00534,0.00004,0.00163,0.01011
1413393222.306584835052490,0.00266,0.00014,0.00001,0.00573,0.00004,0.00134,0.00992
1413393222.356626272201538,0.00235,0.00015,0.00456,0.00462,0.00144,0.00140,0.01452
1413393222.406603336334229,0.00310,0.00016,0.00001,0.00518,0.00000,0.00143,0.00989
1413393222.456603527069092,0.00212,0.00014,0.00002,0.00502,0.00000,0.00138,0.00869
1413393222.506507873535156,0.00357,0.00016,0.00005,0.00494,0.00000,0.00130,0.01002
1413393222.556413173675537,0.00225,0.00013,0.00003,0.00514,0.00004,0.00152,0.00909
1413393222.606362581253052,0.00238,0.00015,0.00009,0.00546,0.00004,0.00133,0.00945
1413393222.656296491622925,0.00192,0.00013,0.00001,0.00517,0.00000,0.00180,0.00903
1413393222.706280708312988,0.00175,0.00014,0.00004,0.00578,0.00000,0.00159,0.00929
1413393222.756270647048950,0.01178,0.00015,0.00201,0.00587,0.00023,0.00203,0.02206
1413393222.806266784667969,0.00776,0.00016,0.00006,0.00552,0.00000,0.00177,0.01527
1413393222.856268882751465,0.00371,0.00016,0.00092,0.00620,0.00003,0.00135,0.01238
1413393222.906251668930054,0.00264,0.00018,0.00003,0.00512,0.00003,0.00128,0.00928
1413393222.956245422363281,0.00224,0.00013,0.00519,0.00455,0.00209,0.00130,0.01551
1413393223.006241798400879,0.01026,0.00016,0.00007,0.00467,0.00016,0.00127,0.01660
1413393223.056241512298584,0.00946,0.00018,0.00041,0.00580,0.00000,0.00171,0.01757
1413393223.106217861175537,0.00528,0.00027,0.00015,0.00476,0.00022,0.00139,0.01209
1413393223.156217575073242,0.00279,0.00014,0.00010,0.00532,0.00001,0.00148,0.00986
1413393223.206198692321777,0.00338,0.00019,0.00144,0.00567,0.00108,0.00133,0.01309
1413393223.256199121475220,0.00257,0.00015,0.00009,0.00469,0.00002,0.00147,0.00900
1413393223.306185007095337,0.00401,0.00023,0.00023,0.00606,0.00000,0.00140,0.01193
1413393223.356171607971191,0.00319,0.00014,0.00273,0.00381,0.00235,0.00301,0.01523
1413393223.406161069869995,0.00354,0.00016,0.00037,0.00441,0.00019,0.00165,0.01033
1413393223.456154584884644,0.01049,0.00021,0.00047,0.00447,0.00134,0.00161,0.01859
1413393223.506143093109131,0.00349,0.00017,0.00028,0.00622,0.00000,0.00129,0.01147
1413393223.556142807006836,0.00344,0.00015,0.00748,0.00420,0.00091,0.00144,0.01762
1413393223.606129884719849,0.00279,0.00015,0.00054,0.00502,0.00000,0.00156,0.01006
1413393223.656128883361816,0.00473,0.00017,0.00023,0.00394,0.00000,0.00132,0.01040
