# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393889.80576 -0.005244 -0.002034 0.028790 0.593858 -0.578693 0.390207 0.400232 0.0007878719 0.0000000496 0.0000000119 0.0007880932 0.0000000428 0.0007878728 0.0128514887 -0.0000000069 0.0000127668 0.0128514951 0.0000043673 0.0026928486
1413393889.85576 -0.005675 -0.005064 0.045696 0.597230 -0.577483 0.384549 0.402431 0.0008281575 0.0000000783 0.0000000254 0.0008284667 0.0000000847 0.0008281679 0.0153101976 -0.0000000111 0.0000153201 0.0153101717 0.0000134099 0.0027238922
1413393889.90576 -0.005172 -0.009613 0.067369 0.600229 -0.574477 0.379964 0.406606 0.0008704158 0.0000001126 0.0000000479 0.0008708177 0.0000001462 0.0008704510 0.0182262774 -0.0000000016 0.0000152026 0.0182261633 0.0000293595 0.0027587164
1413393889.95576 -0.003298 -0.016033 0.093311 0.601338 -0.569992 0.377753 0.413286 0.0009146538 0.0000001488 0.0000000834 0.0009151337 0.0000002243 0.0009147395 0.0216588126 0.0000000559 0.0000097764 0.0216585049 0.0000554389 0.0027976863
1413393890.01220 -0.026461 0.014994 0.123480 0.606352 -0.558838 0.382351 0.416946 0.0005472847 0.0000696686 -0.0001488087 0.0001593275 -0.0000045196 0.0001854699 0.0028303233 -0.0003181353 -0.0000055769 0.0032636810 -0.0000378103 0.0028044465
1413393890.05583 -0.002142 -0.021930 0.165210 0.596494 -0.562427 0.385428 0.423457 0.0003708568 0.0000236315 -0.0001181198 0.0000536893 0.0000006094 0.0000906803 0.0025793680 -0.0000418087 -0.0000248341 0.0026450788 0.0000325021 0.0027785015
1413393890.10558 0.006359 -0.032471 0.197926 0.592568 -0.563722 0.390135 0.422938 0.0003732855 0.0000179674 -0.0001129695 0.0000464167 0.0000002960 0.0000829255 0.0025688568 -0.0000394081 -0.0000311253 0.0026422236 0.0000326213 0.0027907576
1413393890.15580 0.014838 -0.041022 0.232327 0.588557 -0.564966 0.395340 0.422043 0.0003746062 0.0000134932 -0.0001104137 0.0000426614 0.0000013110 0.0000774828 0.0025651572 -0.0000410296 -0.0000347754 0.0026435303 0.0000276154 0.0028093397
1413393890.20579 0.023993 -0.049542 0.265594 0.585501 -0.566269 0.399100 0.421007 0.0003742041 0.0000096428 -0.0001105362 0.0000388686 0.0000020298 0.0000720960 0.0025633868 -0.0000407801 -0.0000337802 0.0026415237 0.0000220105 0.0028152642
1413393890.25580 0.035010 -0.060360 0.291986 0.582577 -0.566998 0.402934 0.420430 0.0003732772 0.0000078864 -0.0001111276 0.0000355436 0.0000021422 0.0000669675 0.0025632448 -0.0000386616 -0.0000280854 0.0026354906 0.0000110636 0.0028109900
1413393890.30613 0.043943 -0.068334 0.309415 0.580811 -0.568471 0.405400 0.418508 0.0003721135 0.0000064409 -0.0001123132 0.0000314339 0.0000021788 0.0000619705 0.0025630532 -0.0000354313 -0.0000203769 0.0026282087 0.0000016079 0.0027954847
1413393890.35650 0.054862 -0.077012 0.316929 0.579333 -0.569864 0.407166 0.416946 0.0003704732 0.0000053044 -0.0001146125 0.0000278459 0.0000015293 0.0000584402 0.0025653962 -0.0000359233 -0.0000180384 0.0026261953 0.0000044447 0.0027769780
1413393890.40655 0.065833 -0.084753 0.319436 0.577805 -0.571056 0.409254 0.415389 0.0003690945 0.0000039794 -0.0001164277 0.0000229956 0.0000005374 0.0000543316 0.0025646817 -0.0000323373 -0.0000158200 0.0026173289 0.0000119962 0.0027178331
1413393890.45626 0.078712 -0.095984 0.308226 0.574634 -0.570613 0.413172 0.416516 0.0003685821 0.0000027788 -0.0001161546 0.0000169786 0.0000002696 0.0000495452 0.0025609168 -0.0000273915 -0.0000126687 0.0026072667 0.0000176330 0.0026473603
1413393890.50629 0.091192 -0.107367 0.306161 0.570344 -0.568562 0.419133 0.419252 0.0003719871 0.0000008595 -0.0001112146 0.0000130202 0.0000002038 0.0000431618 0.0025606447 -0.0000246629 -0.0000123374 0.0026033377 0.0000179065 0.0026205296
1413393890.55609 0.103869 -0.121626 0.300448 0.564410 -0.564680 0.427771 0.423781 0.0003757203 -0.0000011203 -0.0001045773 0.0000098396 0.0000006809 0.0000369714 0.0025592728 -0.0000202588 -0.0000104421 0.0025912749 0.0000084689 0.0025976162
