# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413394887.15576 -0.002709 -0.002460 -0.000914 0.581617 -0.563526 0.422278 0.407237 0.0007880735 0.0000000044 0.0000000009 0.0007881168 0.0000000048 0.0007880735 0.0127125771 -0.0000000099 0.0000062918 0.0127126058 0.0000046230 0.0026928458
1413394887.20576 -0.003892 -0.001426 0.003774 0.580964 -0.563249 0.421481 0.409373 0.0008284577 0.0000000090 0.0000000021 0.0008285158 0.0000000088 0.0008284573 0.0150880014 -0.0000000130 0.0000102490 0.0150880570 0.0000021068 0.0027238864
1413394887.25576 -0.004793 -0.000140 0.009132 0.581384 -0.563037 0.419470 0.411128 0.0008708437 0.0000000147 0.0000000046 0.0008709121 0.0000000140 0.0008708425 0.0178781487 -0.0000000131 0.0000140812 0.0178782412 -0.0000018760 0.0027586888
1413394887.30576 -0.005390 0.001171 0.015908 0.580844 -0.562167 0.418774 0.413784 0.0009152273 0.0000000221 0.0000000090 0.0009153046 0.0000000211 0.0009152252 0.0211403763 -0.0000000108 0.0000174771 0.0211405144 -0.0000068551 0.0027975750
1413394887.35614 0.023680 0.016136 0.021995 0.582568 -0.561738 0.413496 0.417237 0.0008430628 -0.0000570112 -0.0001529220 0.0001630188 -0.0000319488 0.0002701396 0.0039474389 0.0008382046 0.0001504404 0.0034323754 0.0002196017 0.0028088795
1413394887.40573 0.023838 -0.016425 -0.012006 0.573028 -0.564808 0.415385 0.424365 0.0003762658 0.0000100781 -0.0001189756 0.0000138649 -0.0000014491 0.0000588305 0.0025726079 0.0000201752 0.0000154606 0.0025926137 0.0000465357 0.0025844534
1413394887.45546 0.027729 -0.012952 0.005664 0.572721 -0.563938 0.414498 0.426797 0.0003813925 0.0000100683 -0.0001098100 0.0000115599 -0.0000007610 0.0000477881 0.0025603144 0.0000107740 0.0000071161 0.0025753440 0.0000313794 0.0025699313
1413394887.50575 0.027080 -0.009497 0.019203 0.572514 -0.563466 0.414110 0.428073 0.0003817275 0.0000102976 -0.0001092473 0.0000110626 -0.0000006255 0.0000465353 0.0025593426 0.0000107324 0.0000079081 0.0025719367 0.0000289673 0.0025702692
1413394887.55561 0.028034 -0.006977 0.035646 0.573544 -0.564390 0.411718 0.427785 0.0003809503 0.0000121685 -0.0001099902 0.0000111539 -0.0000010837 0.0000464631 0.0025603607 0.0000109557 0.0000097875 0.0025713565 0.0000286382 0.0025727162
1413394887.60564 0.030676 -0.001995 0.055508 0.574866 -0.565434 0.408880 0.427354 0.0003796022 0.0000138875 -0.0001113417 0.0000114110 -0.0000015530 0.0000468733 0.0025625811 0.0000104219 0.0000119176 0.0025707382 0.0000287577 0.0025762865
1413394887.65526 0.034550 0.001739 0.076294 0.577251 -0.568010 0.404254 0.425117 0.0003770714 0.0000153137 -0.0001146518 0.0000115417 -0.0000021564 0.0000483816 0.0025659246 0.0000089123 0.0000138493 0.0025697157 0.0000288312 0.0025804228
1413394887.70494 0.038855 0.003742 0.097322 0.579595 -0.571744 0.399690 0.421220 0.0003737268 0.0000151395 -0.0001194133 0.0000112760 -0.0000026082 0.0000506374 0.0025698304 0.0000069060 0.0000151570 0.0025682430 0.0000285285 0.0025839745
1413394887.75436 0.041819 0.014937 0.125941 0.582758 -0.575151 0.395505 0.416137 0.0003659165 0.0000136586 -0.0001243196 0.0000099933 -0.0000029165 0.0000523979 0.0025620159 0.0000027119 0.0000127864 0.0025562744 0.0000212553 0.0025786313
1413394887.80464 0.048406 0.016583 0.142856 0.584560 -0.577550 0.392326 0.413287 0.0003613199 0.0000130704 -0.0001291846 0.0000098473 -0.0000033779 0.0000557973 0.0025637621 0.0000013864 0.0000130893 0.0025547835 0.0000203247 0.0025815184
1413394887.85429 0.046273 0.018412 0.168956 0.588962 -0.578375 0.388742 0.409251 0.0003561872 0.0000147966 -0.0001325282 0.0000093139 -0.0000046208 0.0000576219 0.0025578894 -0.0000002958 0.0000124642 0.0025537659 0.0000185688 0.0025792008
1413394887.90454 0.053977 0.016721 0.182273 0.590311 -0.580579 0.385931 0.406840 0.0003523173 0.0000132993 -0.0001366098 0.0000092123 -0.0000045186 0.0000611175 0.0025588418 -0.0000012847 0.0000129094 0.0025526990 0.0000175362 0.0025821692
1413394887.95510 0.058200 0.015508 0.195903 0.591354 -0.581106 0.385751 0.404737 0.0003502909 0.0000132649 -0.0001378991 0.0000089650 -0.0000047650 0.0000618812 0.0025571621 -0.0000028032 0.0000126901 0.0025517766 0.0000158944 0.0025837156
1413394888.00584 0.062959 0.011931 0.205851 0.591717 -0.580758 0.387052 0.403463 0.0003481750 0.0000107436 -0.0001373537 0.0000074877 -0.0000038128 0.0000609761 0.0025510840 -0.0000022478 0.0000076740 0.0025493255 0.0000137659 0.0025760096
1413394888.05607 0.073445 0.006470 0.223765 0.590920 -0.579462 0.388464 0.405133 0.0003496825 0.0000108602 -0.0001353603 0.0000070969 -0.0000038991 0.0000588475 0.0025505987 -0.0000027183 0.0000071912 0.0025486064 0.0000122070 0.0025747184
