# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1580572320.36485 -0.004802 -0.000499 -0.048333 -0.737454 0.675374 -0.003747 0.004148 0.0000004454 0.0000000022 -0.0000005739 0.0000004456 -0.0000001874 0.0000092122 0.0001555024 0.0000010718 -0.0000040753 0.0001522322 0.0000132791 0.0001099118
1580572320.47726 -0.002114 -0.001623 -0.078423 -0.738748 0.673966 -0.001531 0.004363 0.0000004706 0.0000000026 -0.0000005676 0.0000004768 -0.0000002163 0.0000094689 0.0003470860 0.0000023737 -0.0000090571 0.0003399278 0.0000295651 0.0002455130
1580572320.59093 0.001309 -0.006143 -0.113672 -0.739969 0.672624 0.001092 0.004770 0.0000005043 0.0000000027 -0.0000005593 0.0000005182 -0.0000002492 0.0000097897 0.0006189404 0.0000042077 -0.0000160943 0.0006063038 0.0000525632 0.0004381630
1580572320.70148 0.002189 -0.041738 -0.160942 -0.741250 0.671188 0.004590 0.005829 0.0000005424 0.0000000016 -0.0000005318 0.0000005682 -0.0000002854 0.0000101611 0.0000418376 0.0001057001 -0.0000596943 0.0004884807 -0.0000404822 0.0006449358
1580572320.81547 0.001880 -0.045337 -0.213060 -0.742733 0.669516 0.006512 0.007376 0.0000005922 0.0000000010 -0.0000005260 0.0000006252 -0.0000002978 0.0000106068 0.0000152562 -0.0000130777 -0.0000352217 0.0000934740 0.0001365104 0.0008720625
1580572320.92687 0.001902 -0.061785 -0.258439 -0.744152 0.667911 0.008216 0.008000 0.0000006518 -0.0000000003 -0.0000005404 0.0000006919 -0.0000003204 0.0000110915 0.0000207109 -0.0000201185 -0.0000471091 0.0001258611 0.0001857640 0.0011810525
1580572321.03924 0.004504 -0.080737 -0.308908 -0.745752 0.666108 0.009730 0.007699 0.0000007231 -0.0000000006 -0.0000005759 0.0000007701 -0.0000003577 0.0000116437 0.0000288800 -0.0000289008 -0.0000610200 0.0001656253 0.0002440380 0.0015468347
1580572321.15151 0.005958 -0.104418 -0.364766 -0.747257 0.664386 0.011377 0.008258 0.0000008015 -0.0000000022 -0.0000006014 0.0000008569 -0.0000003852 0.0000122575 0.0000404108 -0.0000393475 -0.0000766856 0.0002128810 0.0003103066 0.0019633176
1580572321.26894 0.009986 -0.132454 -0.423723 -0.748886 0.662567 0.011651 0.006274 0.0000008999 -0.0000000005 -0.0000006985 0.0000009593 -0.0000004388 0.0000129547 0.0000570409 -0.0000521410 -0.0000949505 0.0002713678 0.0003882870 0.0024541797
1580572321.38068 0.010607 -0.165615 -0.481531 -0.750275 0.660974 0.012360 0.006882 0.0000009973 -0.0000000027 -0.0000007504 0.0000010636 -0.0000004543 0.0000136864 0.0000782475 -0.0000661692 -0.0001140961 0.0003366528 0.0004707649 0.0029743126
1580572321.49372 0.000497 -0.208033 -0.542071 -0.751563 0.659486 0.010817 0.010690 0.0000011034 -0.0000000115 -0.0000007970 0.0000011720 -0.0000003684 0.0000144947 0.0001061977 -0.0000822889 -0.0001351788 0.0004133931 0.0005624830 0.0035538482
1580572321.60571 -0.007254 -0.253056 -0.604778 -0.752891 0.657945 0.010731 0.012146 0.0000012186 -0.0000000162 -0.0000008600 0.0000012933 -0.0000003517 0.0000153494 0.0001415471 -0.0001002247 -0.0001577741 0.0005013778 0.0006616430 0.0041815939
1580572321.71769 0.004699 -0.298118 -0.665339 -0.753894 0.656822 0.012600 0.008346 0.0000013497 -0.0000000098 -0.0000009863 0.0000014324 -0.0000004848 0.0000162479 0.0001859437 -0.0001201819 -0.0001821454 0.0006028693 0.0007691442 0.0048632485
1580572321.83092 0.011015 -0.351678 -0.728693 -0.754759 0.655802 0.014764 0.006728 0.0000014851 -0.0000000068 -0.0000010719 0.0000015813 -0.0000005835 0.0000172240 0.0002416345 -0.0001425376 -0.0002084899 0.0007207074 0.0008864044 0.0056080656
1580572321.94578 -0.007332 -0.416260 -0.799680 -0.755490 0.654969 0.011729 0.010682 0.0000016329 -0.0000000206 -0.0000011733 0.0000017260 -0.0000004410 0.0000182911 0.0003109803 -0.0001675310 -0.0002367630 0.0008575244 0.0010142354 0.0064215105
1580572322.06138 -0.031912 -0.489734 -0.877644 -0.756117 0.654184 0.009643 0.015401 0.0000017850 -0.0000000366 -0.0000012397 0.0000018844 -0.0000002878 0.0000194313 0.0003958805 -0.0001950707 -0.0002668467 0.0010150810 0.0011520742 0.0072997621
1580572322.17462 -0.029623 -0.569783 -0.952574 -0.756392 0.653754 0.014852 0.016016 0.0000019285 -0.0000000355 -0.0000012029 0.0000020604 -0.0000004063 0.0000206131 0.0004961823 -0.0002244591 -0.0002982748 0.0011916358 0.0012963025 0.0082188642
1580572322.28651 -0.023783 -0.655156 -1.029133 -0.757010 0.652896 0.020745 0.015238 0.0000020805 -0.0000000319 -0.0000011731 0.0000022485 -0.0000005934 0.0000218339 0.0006142841 -0.0002559596 -0.0003310268 0.0013899692 0.0014478044 0.0091847521
1580572322.39975 -0.036069 -0.747968 -1.112321 -0.757037 0.652761 0.022386 0.017208 0.0000022495 -0.0000000386 -0.0000011979 0.0000024384 -0.0000005942 0.0000231332 0.0007556427 -0.0002903879 -0.0003654766 0.0016173592 0.0016103359 0.0102216217
1580572322.51312 -0.060222 -0.847376 -1.200678 -0.756998 0.652782 0.021135 0.019588 0.0000024364 -0.0000000489 -0.0000013046 0.0000026334 -0.0000004995 0.0000244908 0.0009221753 -0.0003274650 -0.0004012388 0.0018751099 0.0017825213 0.0113202060
