# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1580572320.701484441757202,0.00656,0.00018,0.00032,0.00000,0.00000,0.00433,0.01140
1580572320.815472364425659,0.00995,0.00016,0.00101,0.00000,0.00000,0.00480,0.01593
1580572320.926869153976440,0.01026,0.00013,0.00018,0.00000,0.00000,0.00348,0.01405
1580572321.039235830307007,0.00479,0.00013,0.00017,0.00000,0.00000,0.00347,0.00857
1580572321.151509046554565,0.00570,0.00014,0.00020,0.00000,0.00000,0.00453,0.01057
1580572321.268944501876831,0.00634,0.00015,0.00012,0.00000,0.00000,0.00374,0.01035
1580572321.380681037902832,0.00605,0.00015,0.00024,0.00000,0.00000,0.00378,0.01022
1580572321.493716716766357,0.00553,0.00015,0.00020,0.00000,0.00000,0.00573,0.01160
1580572321.605708122253418,0.00581,0.00015,0.00007,0.00000,0.00104,0.02824,0.03531
1580572321.717691421508789,0.00763,0.01476,0.00011,0.00000,0.00028,0.00642,0.02921
1580572321.830918550491333,0.00561,0.00016,0.00016,0.00000,0.00000,0.00578,0.01171
1580572321.945779800415039,0.04141,0.00026,0.00024,0.00000,0.00009,0.01760,0.05960
1580572322.061376094818115,0.00500,0.00017,0.00014,0.00000,0.00005,0.00455,0.00991
1580572322.174623489379883,0.00571,0.00015,0.00025,0.00000,0.00082,0.04870,0.05563
1580572322.286511421203613,0.00616,0.00014,0.00032,0.00000,0.00011,0.03607,0.04280
1580572322.399750947952271,0.00666,0.00120,0.00021,0.00000,0.00018,0.00485,0.01311
1580572322.513118028640747,0.00836,0.00016,0.00028,0.00000,0.00000,0.00543,0.01423
1580572322.632802724838257,0.01306,0.00024,0.00021,0.00000,0.00038,0.01532,0.02920
1580572322.746916294097900,0.01340,0.00026,0.00024,0.00000,0.00015,0.00634,0.02038
1580572322.866130828857422,0.00533,0.00018,0.00019,0.00000,0.00000,0.00493,0.01063
1580572322.980956315994263,0.00618,0.00015,0.00016,0.00000,0.00083,0.01674,0.02407
