# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1580572333.46574 0.011404 -0.002773 -0.001832 -0.999912 -0.000014 -0.008467 0.010224 0.0008839289 -0.0000000000 0.0000000000 0.0008839289 -0.0000000000 0.0008839289 0.0187672452 0.0000000133 -0.0000302250 0.0187672995 0.0000069390 0.0028506680
1580572333.59138 0.005147 0.000992 -0.001477 -0.999909 0.000047 -0.008985 0.010040 0.0000253729 -0.0000001297 -0.0000063436 0.0000254221 0.0000076604 0.0003997920 0.0034648895 0.0000000126 -0.0000014048 0.0034649384 0.0000003446 0.0028280466
1580572333.70663 -0.001772 0.002737 -0.000787 -0.999907 0.000076 -0.009333 0.009906 0.0000135192 -0.0000001338 -0.0000065438 0.0000135700 0.0000079021 0.0003997546 0.0030385461 0.0000000126 -0.0000005998 0.0030385950 0.0000001484 0.0028067465
1580572333.82322 -0.001995 0.002537 -0.000641 -0.999908 0.000005 -0.009335 0.009863 0.0000101572 -0.0000001350 -0.0000066006 0.0000102084 0.0000079707 0.0003997443 0.0029176158 0.0000000126 -0.0000003748 0.0029176648 0.0000000933 0.0027915528
1580572333.94141 -0.000446 -0.000829 -0.000396 -0.999906 0.000074 -0.009218 0.010116 0.0000085663 -0.0000001356 -0.0000066275 0.0000086177 0.0000080032 0.0003997396 0.0028603899 0.0000000126 -0.0000002699 0.0028604389 0.0000000675 0.0027801496
1580572334.06016 0.000382 0.002209 -0.001226 -0.999908 0.000075 -0.009217 0.009926 0.0000076452 -0.0000001359 -0.0000066431 0.0000076967 0.0000080220 0.0003997369 0.0028272566 0.0000000126 -0.0000002099 0.0028273055 0.0000000527 0.0027713449
1580572334.18099 0.001375 0.002448 0.001585 -0.999910 0.000033 -0.009082 0.009850 0.0000070382 -0.0000001361 -0.0000066533 0.0000070898 0.0000080343 0.0003997352 0.0028054248 0.0000000126 -0.0000001709 0.0028054737 0.0000000431 0.0027642627
1580572334.29670 -0.000379 -0.000076 0.000021 -0.999907 0.000055 -0.009236 0.010062 0.0000066297 -0.0000001362 -0.0000066602 0.0000066814 0.0000080427 0.0003997341 0.0027907333 0.0000000126 -0.0000001449 0.0027907823 0.0000000366 0.0027587540
1580572334.41817 -0.000088 0.001527 0.001219 -0.999908 0.000055 -0.009179 0.009962 0.0000063119 -0.0000001363 -0.0000066656 0.0000063636 0.0000080492 0.0003997332 0.0027793009 0.0000000126 -0.0000001249 0.0027793499 0.0000000316 0.0027539648
1580572334.53360 0.000156 0.002423 0.001555 -0.999909 0.000028 -0.009162 0.009880 0.0000060792 -0.0000001364 -0.0000066695 0.0000061309 0.0000080539 0.0003997326 0.0027709303 0.0000000126 -0.0000001103 0.0027709792 0.0000000280 0.0027501343
1580572334.65052 -0.000800 0.001785 0.001100 -0.999908 0.000021 -0.009234 0.009940 0.0000058911 -0.0000001365 -0.0000066727 0.0000059429 0.0000080577 0.0003997321 0.0027641658 0.0000000126 -0.0000000986 0.0027642147 0.0000000250 0.0027468132
1580572334.77311 0.000641 0.002277 0.001936 -0.999909 0.000038 -0.009133 0.009915 0.0000057310 -0.0000001365 -0.0000066754 0.0000057828 0.0000080610 0.0003997318 0.0027584098 0.0000000126 -0.0000000888 0.0027584587 0.0000000226 0.0027438119
1580572334.89111 0.000659 0.003202 0.001879 -0.999910 0.000034 -0.009117 0.009835 0.0000056036 -0.0000001366 -0.0000066776 0.0000056555 0.0000080636 0.0003997315 0.0027538285 0.0000000126 -0.0000000809 0.0027538774 0.0000000206 0.0027412980
1580572335.01380 0.000942 0.004290 0.002059 -0.999910 0.000039 -0.009148 0.009844 0.0000056230 -0.0000001421 -0.0000072145 0.0000056439 0.0000077638 0.0003997256 0.0028395742 -0.0000000016 0.0000000086 0.0028395672 -0.0000000467 0.0028203817
1580572335.13166 0.001375 0.005563 0.002285 -0.999911 0.000041 -0.009091 0.009814 0.0000056220 -0.0000001408 -0.0000071699 0.0000056436 0.0000077401 0.0003997293 0.0029398173 -0.0000000031 0.0000000057 0.0029398057 -0.0000000709 0.0029121210
1580572335.25136 0.001197 0.006018 0.002501 -0.999911 0.000042 -0.009101 0.009775 0.0000055130 -0.0000001408 -0.0000071718 0.0000055345 0.0000077422 0.0003997290 0.0029311770 -0.0000000031 0.0000000132 0.0029311654 -0.0000000703 0.0029071734
