# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1580572339.356009006500244,0.02167,0.00034,0.00050,0.00000,0.00000,0.00427,0.02678
1580572339.468063116073608,0.03279,0.00047,0.00088,0.00000,0.00000,0.00476,0.03891
1580572339.809646844863892,0.02397,0.00032,0.00095,0.00000,0.00000,0.00443,0.02968
1580572340.949637651443481,0.01784,0.00039,0.00090,0.00000,0.00000,0.00420,0.02334
1580572341.064808368682861,0.01635,0.00041,0.00086,0.00000,0.00000,0.00451,0.02214
1580572341.182246923446655,0.01681,0.00036,0.00059,0.00000,0.00000,0.00486,0.02262
1580572341.294872760772705,0.01957,0.00043,0.00070,0.00000,0.00000,0.00476,0.02546
1580572341.406744480133057,0.02099,0.00042,0.00072,0.00000,0.00000,0.00493,0.02707
1580572341.521224975585938,0.01855,0.00049,0.00064,0.00000,0.00000,0.00507,0.02475
1580572341.640605688095093,0.02706,0.00044,0.00063,0.00000,0.00000,0.00593,0.03407
1580572341.753572940826416,0.01999,0.00037,0.00071,0.00000,0.00000,0.00462,0.02569
1580572341.867492198944092,0.02266,0.00042,0.00073,0.00000,0.00000,0.00474,0.02855
1580572341.985338449478149,0.02341,0.00048,0.00076,0.00000,0.00000,0.00598,0.03063
1580572342.098913431167603,0.03987,0.00049,0.00050,0.00000,0.00000,0.00445,0.04530
1580572342.211607694625854,0.02048,0.00040,0.00048,0.00000,0.00000,0.00474,0.02610
1580572342.325145959854126,0.01987,0.00042,0.00039,0.00000,0.00000,0.00503,0.02570
1580572342.443293094635010,0.01992,0.00055,0.00044,0.00000,0.00000,0.00655,0.02747
1580572342.555753707885742,0.03448,0.00050,0.00051,0.00000,0.00000,0.00521,0.04070
1580572342.671148777008057,0.01823,0.00046,0.00042,0.00000,0.00000,0.00494,0.02405
1580572342.785662174224854,0.01880,0.00060,0.00047,0.00000,0.00000,0.00577,0.02564
1580572342.900013208389282,0.02069,0.00049,0.00071,0.00000,0.00000,0.00445,0.02634
1580572343.014694213867188,0.01984,0.00059,0.00049,0.00000,0.00000,0.00541,0.02632
1580572343.133556604385376,0.02246,0.00056,0.00076,0.00000,0.00000,0.00562,0.02940
1580572343.247976779937744,0.02816,0.00056,0.00076,0.00000,0.00000,0.00488,0.03436
1580572343.361595392227173,0.02007,0.00058,0.00079,0.00000,0.00000,0.00473,0.02617
1580572343.477849245071411,0.02014,0.00056,0.00051,0.00000,0.00000,0.00453,0.02574
1580572343.590862035751343,0.01859,0.00056,0.00055,0.00000,0.00000,0.00464,0.02435
1580572343.704773426055908,0.01768,0.00070,0.00075,0.00000,0.00000,0.00460,0.02374
1580572343.825019836425781,0.02263,0.00067,0.00052,0.00000,0.00000,0.00482,0.02863
1580572343.938461065292358,0.01764,0.00059,0.00077,0.00000,0.00000,0.00452,0.02352
1580572344.058986186981201,0.01776,0.00068,0.00067,0.00000,0.00000,0.00473,0.02384
1580572344.171246051788330,0.02093,0.00064,0.00067,0.00000,0.00000,0.00602,0.02826
1580572344.283652544021606,0.01780,0.00071,0.00059,0.00000,0.00000,0.00524,0.02434
1580572344.397167444229126,0.02009,0.00064,0.00109,0.00000,0.00000,0.00487,0.02669
1580572344.510080337524414,0.02434,0.00072,0.00054,0.00000,0.00000,0.00533,0.03093
1580572344.629692316055298,0.01999,0.00077,0.00116,0.00000,0.00000,0.00961,0.03154
1580572344.740941047668457,0.01787,0.00072,0.00080,0.00000,0.00000,0.00556,0.02495
1580572344.852264642715454,0.01831,0.00076,0.00197,0.00000,0.00038,0.00576,0.02718
1580572344.969214439392090,0.01911,0.00070,0.00064,0.00000,0.00000,0.00568,0.02613
1580572345.082118988037109,0.02182,0.00099,0.00078,0.00000,0.00110,0.00592,0.03061
1580572345.195683956146240,0.02120,0.00076,0.00111,0.00000,0.00000,0.00524,0.02831
